instance_name,optimizer,choice_model,threshold,static_model_name,dynamic_model_name,objective_value,time_spent_in_pricing_mean,time_spent_adding_paths_mean,time_spent_in_master_mean,time_spent_total_mean,number_of_label_algo_calls_mean,number_of_fall_backs_mean,number_of_paths_mean,number_of_iterations_mean,time_spent_in_pricing_CI,time_spent_adding_paths_CI,time_spent_in_master_CI,time_spent_total_CI,number_of_label_algo_calls_CI,number_of_fall_backs_CI,number_of_paths_CI,number_of_iterations_CI,fallback_at_itteration,objval_at_fallback,vector_of_it_of_time_spent_in_pricing,vector_of_it_of_time_spent_adding_paths,vector_of_it_of_time_spent_in_master,vector_of_it_of_label_algo_calls,vector_of_it_of_fall_backs,vector_of_it_of_paths,vector_of_it_of_objval,vector_of_it_times
WorldLarge_base.txt,Gurobi,no_choice,0.35,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313232e8,0.9242999315261841,0.46059980392456057,4.1149999618530275,5.705700016021728,1464.0,0.0,35128.0,12.0,"(0.6691743818185323, 1.1794254812338358)","(0.3883545896756019, 0.5328450181735193)","(3.9174773101152836, 4.3125226135907715)","(4.929690214401605, 6.4817098176418515)","(1464.0, 1464.0)","(0.0, 0.0)","(35128.0, 35128.0)","(12.0, 12.0)",5.0,-1.2912235682615972e8,"(0.08899998664855957, 0.032899999618530275, 0.09779996871948242, 0.12160000801086426, 0.12009999752044678, 0.11670000553131103, 0.05429997444152832, 0.05209994316101074, 0.05160000324249268, 0.05190000534057617, 0.05150003433227539, 0.08480000495910645)","(0.016999983787536622, 0.009299945831298829, 0.10860002040863037, 0.07669990062713623, 0.09360001087188721, 0.12309997081756592, 0.027199983596801758, 0.004000043869018555, 0.0007999658584594727, 9.999275207519531e-5, 0.00019998550415039061)","(0.1245999813079834, 0.008900022506713868, 0.01509997844696045, 0.5345999956130981, 1.0238000392913817, 0.5250999689102173, 0.9098000288009643, 0.6061999797821045, 0.22879998683929442, 0.09000000953674317, 0.03819994926452637, 0.03240001201629639)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(836.0, 1443.0, 11430.0, 6680.0, 4448.0, 8395.0, 1654.0, 210.0, 29.0, 2.0, 1.0)","(1.16854e8, 3.358636712764953e7, 2.1027121932695102e7, -1.0429805754291679e8, -1.2912235682615972e8, -1.3168337251006421e8, -1.4953168105620953e8, -1.5050797736570507e8, -1.5059751732392505e8, -1.5060022737788054e8, -1.5060036244347808e8, -1.5060038324313232e8)","(0.3299000024795532, 0.3574000120162964, 0.4194000005722046, 1.165400004386902, 2.3926000118255617, 3.1486000061035155, 4.303399991989136, 4.995999979972839, 5.285400009155273, 5.4323999881744385, 5.527299976348877, 5.615900039672852)"
WorldLarge_base.txt,Gurobi,no_choice,0.4,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313232e8,0.7075001239776612,0.4123999834060669,3.5916001081466673,4.780800008773804,1342.0,0.0,33959.0,11.0,"(0.5778170483972895, 0.8371831995580328)","(0.35153681889875593, 0.4732631479133778)","(3.5729056817847575, 3.610294534508577)","(4.664661844190275, 4.896938173357333)","(1342.0, 1342.0)","(0.0, 0.0)","(33959.0, 33959.0)","(11.0, 11.0)",5.0,-1.1218005969799003e8,"(0.010100054740905761, 0.023800015449523926, 0.07829995155334472, 0.07179996967315674, 0.0765000581741333, 0.09619998931884766, 0.05610003471374512, 0.05170001983642578, 0.09600005149841309, 0.05039997100830078, 0.09660000801086426)","(0.005199909210205078, 0.005200004577636719, 0.06600000858306884, 0.04530000686645508, 0.02260003089904785, 0.21380000114440917, 0.04230003356933594, 0.007800006866455078, 0.0040999650955200195, 0.00010001659393310547)","(0.01580002307891846, 0.008700060844421386, 0.009600043296813965, 0.4036999702453613, 0.4892000198364258, 0.3235999584197998, 1.229900050163269, 0.6340999603271484, 0.30849997997283934, 0.14210000038146972, 0.026400041580200196)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(836.0, 783.0, 8381.0, 4614.0, 2051.0, 13954.0, 2703.0, 413.0, 223.0, 1.0)","(1.16854e8, 3.358636712764953e7, 2.3958148644353393e7, -8.634528113266537e7, -1.1218005969799003e8, -1.1419459753292874e8, -1.4837233980850288e8, -1.5043264420659438e8, -1.5059209051334593e8, -1.506003809679148e8, -1.5060038324313232e8)","(0.03770005702972412, 0.06070001125335693, 0.10370004177093506, 0.6567999839782714, 1.267900037765503, 1.695300006866455, 3.240000033378601, 3.977500009536743, 4.350399994850159, 4.597699999809265, 4.679600024223328)"
WorldLarge_base.txt,Gurobi,no_choice,0.45,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313235e8,0.7217999219894409,0.33989996910095216,3.658799910545349,4.786100006103515,1464.0,0.0,29609.0,12.0,"(0.5680445670952667, 0.875555276883615)","(0.29618511786809654, 0.3836148203338078)","(3.6379470698958514, 3.6796527511948467)","(4.626149704540618, 4.946050307666413)","(1464.0, 1464.0)","(0.0, 0.0)","(29609.0, 29609.0)","(12.0, 12.0)",5.0,-8.665206398299693e7,"(0.010499978065490722, 0.020199966430664063, 0.08239998817443847, 0.052000021934509276, 0.054199957847595216, 0.07669997215270996, 0.06529994010925293, 0.05280001163482666, 0.05470001697540283, 0.05160002708435059, 0.05260007381439209, 0.14879996776580812)","(0.005100059509277344, 0.0034000396728515623, 0.05669996738433838, 0.0377000093460083, 0.007900047302246093, 0.13469994068145752, 0.07920000553131104, 0.011099958419799804, 0.0033999919891357423, 0.0006999492645263672, 0.0)","(0.017399978637695313, 0.008999919891357422, 0.006999969482421875, 0.24630002975463866, 0.33229999542236327, 0.11710000038146973, 1.250600028038025, 1.1515999555587768, 0.2963000059127808, 0.15900003910064697, 0.044900035858154295, 0.027299952507019044)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(836.0, 440.0, 5885.0, 2303.0, 828.0, 12702.0, 5724.0, 723.0, 156.0, 11.0, 1.0)","(1.16854e8, 3.358636712764953e7, 2.5412240781997196e7, -6.744139625926857e7, -8.665206398299693e7, -9.133370983366548e7, -1.4573792949356052e8, -1.5030761548542026e8, -1.5058403181239077e8, -1.5060008145437744e8, -1.50600380967915e8, -1.5060038324313235e8)","(0.040199995040893555, 0.054399967193603516, 0.08949997425079345, 0.48000001907348633, 0.9070000171661377, 1.0908000230789185, 2.5573999881744385, 3.8583999633789063, 4.223399996757507, 4.445100045204162, 4.547100019454956, 4.632099986076355)"
WorldLarge_base.txt,Gurobi,no_choice,0.5,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313232e8,0.5839999675750732,0.37149996757507325,4.108699941635132,5.141700029373169,1342.0,0.0,33254.0,11.0,"(0.5426836040848492, 0.6253163310652973)","(0.3630677118491389, 0.3799322233010076)","(4.0935247488155895, 4.123875134454675)","(5.092036571641554, 5.191363487104784)","(1342.0, 1342.0)","(0.0, 0.0)","(33254.0, 33254.0)","(11.0, 11.0)",5.0,-5.2672619912605114e7,"(0.010400009155273438, 0.01959996223449707, 0.06370000839233399, 0.04500002861022949, 0.04620003700256348, 0.10809993743896484, 0.08030002117156983, 0.05490000247955322, 0.05150003433227539, 0.052499938011169436, 0.051799988746643065)","(0.00709993839263916, 0.0008000373840332031, 0.019800019264221192, 0.008699989318847657, 0.003099966049194336, 0.14840009212493896, 0.15419995784759521, 0.0254000186920166, 0.0029999732971191405, 0.0009999752044677734)","(0.018000006675720215, 0.009200048446655274, 0.0043999671936035155, 0.08449995517730713, 0.1253000020980835, 0.022699999809265136, 1.292199969291687, 1.7213000059127808, 0.5353999614715577, 0.21719999313354493, 0.07850003242492676)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(836.0, 95.0, 2978.0, 982.0, 331.0, 15615.0, 10682.0, 1550.0, 153.0, 32.0)","(1.16854e8, 3.358636712764953e7, 2.960422947398319e7, -3.765205579161477e7, -5.2672619912605114e7, -5.305277514335574e7, -1.4363967706071225e8, -1.5002470884160432e8, -1.50561616576204e8, -1.5060008175376436e8, -1.5060038324313232e8)","(0.04050004482269287, 0.057300019264221194, 0.08680000305175781, 0.25959999561309816, 0.44290001392364503, 0.5198999881744385, 2.0736999988555906, 4.050399994850158, 4.671200013160705, 4.948099994659424, 5.085000014305114)"
WorldLarge_base.txt,Gurobi,no_choice,0.55,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313238e8,0.8253999710083008,0.4505999326705933,4.312300157546997,5.690300035476684,1586.0,0.0,37390.0,13.0,"(0.6880587647728853, 0.9627411772437162)","(0.44333445198195576, 0.4578654133592308)","(4.274109048432172, 4.350491266661822)","(5.552733102619974, 5.827866968333395)","(1586.0, 1586.0)","(0.0, 0.0)","(37390.0, 37390.0)","(13.0, 13.0)",5.0,25500.066565388814,"(0.010300016403198243, 0.018200016021728514, 0.04720001220703125, 0.04549994468688965, 0.05629994869232178, 0.09150002002716065, 0.09760000705718994, 0.0574000358581543, 0.07949995994567871, 0.07819995880126954, 0.05210001468658447, 0.09059998989105225, 0.10100004673004151)","(0.0053999900817871095, 0.00019998550415039061, 0.004799938201904297, 0.000800013542175293, 0.0007999420166015625, 0.17090003490447997, 0.2261000394821167, 0.03650000095367432, 0.00410003662109375, 0.0009999513626098634, 0.0, 0.0)","(0.021199965476989747, 0.00860004425048828, 0.004400014877319336, 0.014400029182434082, 0.010600018501281738, 0.010199975967407227, 1.109999990463257, 2.0416000127792358, 0.6837999820709229, 0.25860004425048827, 0.05710000991821289, 0.05350005626678467, 0.03830001354217529)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(836.0, 24.0, 687.0, 92.0, 61.0, 18871.0, 14513.0, 2086.0, 185.0, 31.0, 2.0, 2.0)","(1.16854e8, 3.358636712764953e7, 3.043667747398319e7, 8.282869830468977e6, 25500.066565388814, -423175.4789014949, -1.3898779137551975e8, -1.4974165834958336e8, -1.505564477520592e8, -1.5059960554422665e8, -1.5060033869669363e8, -1.5060035931482506e8, -1.5060038324313238e8)","(0.04380002021789551, 0.05830004215240479, 0.08580000400543213, 0.15720000267028808, 0.21880002021789552, 0.2908999681472778, 1.6683000087738038, 4.038600015640259, 4.821199989318847, 5.168300032615662, 5.339399981498718, 5.450400042533874, 5.584200024604797)"
WorldLarge_base.txt,Gurobi,test_choice,0.35,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313232e8,0.8340999126434326,0.524500060081482,5.477100157737732,6.997700023651123,1464.0,0.0,36367.0,12.0,"(0.7256894499667638, 0.9425103753201015)","(0.4557817182420677, 0.5932184019208963)","(5.109476204373564, 5.8447241111019)","(6.594845276683608, 7.400554770618638)","(1464.0, 1464.0)","(0.0, 0.0)","(36367.0, 36367.0)","(12.0, 12.0)",5.0,-1.2784125160905454e8,"(0.03340001106262207, 0.02479996681213379, 0.0991999626159668, 0.10449998378753662, 0.09909999370574951, 0.08199999332427979, 0.06010003089904785, 0.05659995079040527, 0.056300020217895506, 0.057599997520446776, 0.10280001163482666, 0.05769999027252197)","(0.012599968910217285, 0.006999945640563965, 0.10649998188018799, 0.09150002002716065, 0.07420005798339843, 0.1885000228881836, 0.037400031089782716, 0.005499982833862304, 0.0012000560760498046, 9.999275207519531e-5, 0.0)","(0.0190000057220459, 0.018000054359436034, 0.01640005111694336, 0.4970000505447388, 1.7071999788284302, 1.0462000131607057, 1.1287000179290771, 0.6806999921798706, 0.23730001449584961, 0.05959997177124023, 0.03639998435974121, 0.03060002326965332)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1556.0, 870.0, 10307.0, 7380.0, 4871.0, 9228.0, 1881.0, 248.0, 24.0, 1.0, 1.0)","(1.16854e8, 6.625969162842357e6, -3.4208943027340574e6, -8.41089041339126e7, -1.2784125160905454e8, -1.324223204649814e8, -1.49319912863158e8, -1.505688393404701e8, -1.5060014364579728e8, -1.5060037530465558e8, -1.506003809679148e8, -1.5060038324313232e8)","(0.08190000057220459, 0.1127000093460083, 0.16650002002716063, 0.8750000238418579, 2.783099961280823, 4.008200001716614, 5.412800025939942, 6.195999979972839, 6.500600004196167, 6.622900009155273, 6.723399996757507, 6.934000015258789)"
WorldLarge_base.txt,Gurobi,test_choice,0.4,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.506003832431322e8,0.9028999090194703,0.5462999820709229,5.394000172615051,6.9382000207901005,1342.0,0.0,33575.0,11.0,"(0.7292449071324835, 1.0765549109064572)","(0.49797346450559354, 0.5946264996362522)","(5.333864815968474, 5.454135529261628)","(6.786077233987728, 7.0903228075924725)","(1342.0, 1342.0)","(0.0, 0.0)","(33575.0, 33575.0)","(11.0, 11.0)",5.0,-1.155203789384549e8,"(0.014100003242492675, 0.028099942207336425, 0.092799973487854, 0.12420003414154053, 0.07879998683929443, 0.1502999782562256, 0.06659998893737792, 0.06119999885559082, 0.10990004539489746, 0.06019999980926514, 0.11669995784759521)","(0.013000011444091797, 0.003800058364868164, 0.07799999713897705, 0.0862999439239502, 0.039999961853027344, 0.2689000129699707, 0.049500012397766115, 0.005299997329711914, 0.0012999773025512695, 0.00020000934600830078)","(0.023800015449523926, 0.020000004768371583, 0.01570003032684326, 0.3042999982833862, 1.3502000570297241, 0.653000020980835, 1.8781999826431275, 0.7128000020980835, 0.26390001773834226, 0.12210004329681397, 0.0500999927520752)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1556.0, 413.0, 7126.0, 6478.0, 2802.0, 12495.0, 2421.0, 208.0, 61.0, 15.0)","(1.16854e8, 6.625969162842357e6, -690807.5766262937, -7.017382169949417e7, -1.155203789384549e8, -1.2152831934499028e8, -1.4860133372800803e8, -1.505438999094827e8, -1.505992359260196e8, -1.5060037948670128e8, -1.506003832431322e8)","(0.0569000244140625, 0.09010004997253418, 0.1452000617980957, 0.6378000497817993, 2.2045000553131104, 2.9820000171661376, 5.285899996757507, 6.120700025558472, 6.457600021362305, 6.697400045394898, 6.81470000743866)"
WorldLarge_base.txt,Gurobi,test_choice,0.45,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.506003832431323e8,0.8414999485015869,0.5329999685287475,4.68840000629425,6.146599984169006,1464.0,0.0,32997.0,12.0,"(0.7339051546988398, 0.9490947423043341)","(0.45056709785677995, 0.6154328392007151)","(4.6332630403234285, 4.743536972265072)","(6.00025740562461, 6.292942562713402)","(1464.0, 1464.0)","(0.0, 0.0)","(32997.0, 32997.0)","(12.0, 12.0)",5.0,-9.195669342814584e7,"(0.02000002861022949, 0.019799971580505372, 0.07100000381469726, 0.07160000801086426, 0.10039999485015869, 0.0867999792098999, 0.1299999475479126, 0.10550000667572021, 0.05839998722076416, 0.05910003185272217, 0.05959997177124023, 0.059300017356872556)","(0.012800049781799317, 0.002700018882751465, 0.07129995822906494, 0.03859996795654297, 0.014699983596801757, 0.17899999618530274, 0.1923999786376953, 0.018700027465820314, 0.001999974250793457, 0.0006999969482421875, 0.00010001659393310547)","(0.022099971771240234, 0.02069993019104004, 0.013299989700317382, 0.23570003509521484, 0.5740000486373902, 0.16640002727508546, 1.650600004196167, 1.2129000425338745, 0.5358999967575073, 0.14580001831054687, 0.07279996871948242, 0.038199973106384275)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1556.0, 291.0, 4695.0, 3616.0, 1251.0, 12717.0, 7899.0, 876.0, 81.0, 13.0, 2.0)","(1.16854e8, 6.625969162842357e6, -302588.3842267017, -5.3660949523020856e7, -9.195669342814584e7, -9.579634977892266e7, -1.4565310600969163e8, -1.5030409649569243e8, -1.5059068581640765e8, -1.5059991603022572e8, -1.506003614415793e8, -1.506003832431323e8)","(0.05950002670288086, 0.09349997043609619, 0.136199951171875, 0.5203999996185302, 1.2105000019073486, 1.4980000019073487, 3.4204999923706056, 4.9615000009536745, 5.62720000743866, 5.839399981498718, 5.9776999950408936, 6.081599950790405)"
WorldLarge_base.txt,Gurobi,test_choice,0.5,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313235e8,0.7618000507354736,0.5187997817993164,4.739200234413147,6.103500008583069,1342.0,0.0,33422.0,11.0,"(0.6290868074506003, 0.894513294020347)","(0.4329093841853071, 0.6046901794133257)","(4.698615869831632, 4.779784598994662)","(5.969209999480274, 6.237790017685864)","(1342.0, 1342.0)","(0.0, 0.0)","(33422.0, 33422.0)","(11.0, 11.0)",5.0,-6.0541309582257494e7,"(0.013400053977966309, 0.01939997673034668, 0.08329999446868896, 0.05499997138977051, 0.06400001049041748, 0.1326000213623047, 0.0806999921798706, 0.06050002574920654, 0.05889999866485596, 0.05820000171661377, 0.13580000400543213)","(0.011999964714050293, 0.0020999908447265625, 0.024299979209899902, 0.017599964141845705, 0.011999964714050293, 0.23409993648529054, 0.1924999713897705, 0.020200037956237794, 0.003299975395202637, 0.0006999969482421875)","(0.02239999771118164, 0.020099997520446777, 0.01569995880126953, 0.07770009040832519, 0.1933000087738037, 0.13640005588531495, 1.8086000680923462, 1.8556000232696532, 0.35049996376037595, 0.18790004253387452, 0.07100002765655518)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1556.0, 237.0, 2111.0, 1646.0, 1025.0, 17766.0, 7914.0, 1012.0, 139.0, 16.0)","(1.16854e8, 6.625969162842357e6, -74359.965303184, -3.120899674554015e7, -6.0541309582257494e7, -6.876969250496648e7, -1.4376576353583196e8, -1.5024970373715535e8, -1.5058374006133083e8, -1.5059951114718506e8, -1.5060038324313235e8)","(0.05480005741119385, 0.0872999906539917, 0.13380000591278077, 0.3248000621795654, 0.5973000049591064, 0.8159000396728515, 2.997500014305115, 5.132500028610229, 5.570199990272522, 5.826000022888183, 5.961900019645691)"
WorldLarge_base.txt,Gurobi,test_choice,0.55,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313232e8,0.6557999610900879,0.7154000043869019,5.897599983215332,7.411100006103515,1342.0,0.0,37691.0,11.0,"(0.6050260513883634, 0.7065738707918123)","(0.6192814656387888, 0.8115185431350149)","(5.807775849896823, 5.987424116533841)","(7.25863391464792, 7.563566097559111)","(1342.0, 1342.0)","(0.0, 0.0)","(37691.0, 37691.0)","(11.0, 11.0)",5.0,-2.753153582249102e7,"(0.013699984550476075, 0.019700050354003906, 0.06220002174377441, 0.049200010299682614, 0.05010001659393311, 0.10229992866516113, 0.12130000591278076, 0.06339995861053467, 0.05750000476837158, 0.05840001106262207, 0.05799996852874756)","(0.013200020790100098, 0.001699972152709961, 0.0040999650955200195, 0.004599976539611817, 0.0031999826431274416, 0.23839998245239258, 0.32300002574920655, 0.12430005073547364, 0.002500009536743164, 0.00040001869201660155)","(0.02689993381500244, 0.02070002555847168, 0.014000010490417481, 0.02370004653930664, 0.041499972343444824, 0.03250000476837158, 1.6367000102996827, 2.695099973678589, 1.086299967765808, 0.22940001487731934, 0.09080002307891846)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1556.0, 184.0, 483.0, 499.0, 310.0, 19342.0, 13519.0, 1685.0, 94.0, 19.0)","(1.16854e8, 6.625969162842357e6, 230467.6157732983, -1.0944038446898388e7, -2.753153582249102e7, -3.2633486316330068e7, -1.411764792914741e8, -1.4991445815532726e8, -1.5058938321279472e8, -1.506002676617169e8, -1.5060038324313232e8)","(0.05729999542236328, 0.09170002937316894, 0.13339998722076415, 0.22970001697540282, 0.33109996318817136, 0.4226000070571899, 2.4062999963760374, 5.551999974250793, 6.832299971580506, 7.12810001373291, 7.284200000762939)"
