instance_name,optimizer,choice_model,threshold,static_model_name,dynamic_model_name,objective_value,time_spent_in_pricing_mean,time_spent_adding_paths_mean,time_spent_in_master_mean,time_spent_total_mean,number_of_label_algo_calls_mean,number_of_fall_backs_mean,number_of_paths_mean,number_of_iterations_mean,time_spent_in_pricing_CI,time_spent_adding_paths_CI,time_spent_in_master_CI,time_spent_total_CI,number_of_label_algo_calls_CI,number_of_fall_backs_CI,number_of_paths_CI,number_of_iterations_CI,fallback_at_itteration,objval_at_fallback,vector_of_it_of_time_spent_in_pricing,vector_of_it_of_time_spent_adding_paths,vector_of_it_of_time_spent_in_master,vector_of_it_of_label_algo_calls,vector_of_it_of_fall_backs,vector_of_it_of_paths,vector_of_it_of_objval,vector_of_it_times
WorldLarge_base.txt,Gurobi,test_choice,0.35,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313217e8,0.7053333520889282,0.41039997736612954,3.90310001373291,5.08013334274292,1342.0,0.0,35101.0,11.0,"(0.6558567767877528, 0.7548099273901037)","(0.3856952224605476, 0.4351047322717115)","(3.8910890890515883, 3.915110938414232)","(5.036046347473559, 5.1242203380122815)","(1342.0, 1342.0)","(0.0, 0.0)","(35101.0, 35101.0)","(11.0, 11.0)",5.0,-1.3125104265590712e8,"(0.01226665178934733, 0.022333351771036784, 0.10920000076293945, 0.10256666342417399, 0.08039999008178711, 0.09429999987284342, 0.06386670271555582, 0.060399985313415526, 0.04630000591278076, 0.05083333651224772, 0.0628666639328003)","(0.006500013669331868, 0.0026666720708211264, 0.08963334560394287, 0.09623331228892008, 0.061500016848246256, 0.11716663042704265, 0.03176663716634114, 0.0017000118891398112, 0.00323333740234375, 0.0)","(0.022766677538553874, 0.013466660181681316, 0.015166656176249186, 0.3710333267847697, 1.0277333498001098, 0.8003333330154419, 0.771833340326945, 0.5214000145594279, 0.24070000648498535, 0.08486667474110922, 0.03379997412363688)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1443.0, 844.0, 10823.0, 7885.0, 4411.0, 7762.0, 1715.0, 172.0, 44.0, 2.0)","(1.16854e8, 8.57390230594963e6, -1.2642484319091367e6, -8.780705097984643e7, -1.3125104265590712e8, -1.356415653085514e8, -1.4935645893870986e8, -1.5055079333929646e8, -1.5059948611996838e8, -1.5060034907879922e8, -1.5060038324313217e8)","(0.04619999726613363, 0.06730000178019206, 0.1114666779836019, 0.6879000107447306, 1.9186333497365315, 2.865600021680196, 3.8550333261489866, 4.475600020090739, 4.784300025304159, 4.925766690572103, 5.013633338610331)"
WorldLarge_base.txt,Gurobi,test_choice,0.4,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313223e8,0.6555999835332235,0.4061999956766764,3.7055999596913654,4.869666647911072,1342.0,0.0,33451.0,11.0,"(0.6067096090892432, 0.7044903579772037)","(0.37762822710604305, 0.4347717642473098)","(3.6851103933337055, 3.726089526049025)","(4.819216509016583, 4.920116786805561)","(1342.0, 1342.0)","(0.0, 0.0)","(33451.0, 33451.0)","(11.0, 11.0)",5.0,-1.1892849705396937e8,"(0.01229999860127767, 0.021166658401489256, 0.07319998741149902, 0.08749998410542806, 0.06246668497721354, 0.08293333848317465, 0.06306667327880859, 0.08110001881917318, 0.05933334032694499, 0.05059997240702311, 0.06193332672119141)","(0.010166668891906738, 0.002266661326090495, 0.05946668783823649, 0.06176667213439942, 0.037400007247924805, 0.18836665948232015, 0.03916667302449544, 0.006433312098185221, 0.0011333227157592773, 3.333091735839844e-5)","(0.02326666514078776, 0.013633330663045248, 0.010500001907348632, 0.23260000546773274, 0.8375999927520752, 0.4633666515350342, 1.1790333271026612, 0.6281333208084107, 0.2015333334604899, 0.06530001958211264, 0.05063331127166748)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1443.0, 394.0, 7637.0, 6344.0, 2346.0, 12696.0, 2280.0, 252.0, 53.0, 6.0)","(1.16854e8, 8.57390230594963e6, 1.4566904274033206e6, -7.48420494347308e7, -1.1892849705396937e8, -1.22915082271289e8, -1.4863819515512288e8, -1.50553750977024e8, -1.5059940939525974e8, -1.5060025541837117e8, -1.5060038324313223e8)","(0.04196667671203613, 0.06596666971842448, 0.10493332544962565, 0.4799000104268392, 1.4709999958674114, 2.0390999873479205, 3.493999989827474, 4.239133326212565, 4.542599987983704, 4.696466676394144, 4.803233313560486)"
WorldLarge_base.txt,Gurobi,test_choice,0.45,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313247e8,0.7200333754221598,0.3416333516438802,3.9389000018437703,5.086399976412455,1464.0,0.0,31040.0,12.0,"(0.656107702376952, 0.7839590484673676)","(0.32574091606538974, 0.35752578722237066)","(3.927015862210851, 3.9507841414766895)","(5.019539693716851, 5.153260259108059)","(1464.0, 1464.0)","(0.0, 0.0)","(31040.0, 31040.0)","(12.0, 12.0)",5.0,-9.71580768172472e7,"(0.010066676139831542, 0.019033360481262206, 0.060833287239074704, 0.06839999357859293, 0.057633344332377115, 0.08130001227060954, 0.06326669057210287, 0.05316665967305501, 0.05843334197998047, 0.10520000457763672, 0.06950000921885173, 0.07319999535878499)","(0.010166660944620768, 0.0009000062942504883, 0.038966703414916995, 0.045366676648457845, 0.013033318519592284, 0.13763331572214763, 0.08350000381469727, 0.008300002415974934, 0.0029999891916910808, 0.0007666746775309244, 0.0)","(0.0247666597366333, 0.01273333231608073, 0.0055666685104370115, 0.1847333351771037, 0.5077999989191692, 0.10833333333333334, 1.3238333384195964, 1.1817333300908406, 0.35316665172576905, 0.14163332780202229, 0.06543335119883219, 0.029166674613952635)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1443.0, 246.0, 5107.0, 4228.0, 888.0, 12618.0, 5797.0, 567.0, 121.0, 23.0, 2.0)","(1.16854e8, 8.57390230594963e6, 1.9809839878428872e6, -5.8499598239059374e7, -9.71580768172472e7, -9.896700074481823e7, -1.463011922990761e8, -1.503856677882167e8, -1.5059145899289992e8, -1.5059965234102684e8, -1.506003614415793e8, -1.5060038324313247e8)","(0.043666656812032065, 0.06706665356953939, 0.09693334897359213, 0.3880000034968058, 1.0159999926884968, 1.1992666482925416, 2.7497999827067057, 4.083866659800211, 4.503399991989136, 4.713033310572306, 4.890299995740254, 4.993899997075399)"
WorldLarge_base.txt,Gurobi,test_choice,0.5,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313223e8,0.6090000152587891,0.36949997742970786,3.1039334694544474,4.153866720199585,1342.0,0.0,31794.0,11.0,"(0.5681830814135223, 0.649816949104056)","(0.3366062062463812, 0.4023937486130345)","(3.09076114702076, 3.1171057918881346)","(4.108490139507971, 4.199243300891199)","(1342.0, 1342.0)","(0.0, 0.0)","(31794.0, 31794.0)","(11.0, 11.0)",5.0,-6.390511538798266e7,"(0.011466662089029947, 0.016433358192443848, 0.06156666278839111, 0.05483334064483643, 0.05059999624888102, 0.0845666488011678, 0.09213333129882813, 0.05986664295196533, 0.05043334166208903, 0.062000004450480144, 0.06510002613067627)","(0.008266687393188477, 0.0015999873479207356, 0.013400006294250488, 0.011366661389668782, 0.008933321634928385, 0.17463333606719972, 0.1296666701634725, 0.01833333174387614, 0.0019999901453653973, 0.0012999852498372397)","(0.019466694196065268, 0.013233359654744465, 0.005533337593078613, 0.05690000851949056, 0.16096665859222412, 0.08993337154388428, 1.0917999505996705, 1.101733350753784, 0.3428000052769979, 0.1414667050043742, 0.08010002772013346)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1443.0, 166.0, 2254.0, 1642.0, 1175.0, 15266.0, 8720.0, 985.0, 114.0, 29.0)","(1.16854e8, 8.57390230594963e6, 2.5719319878428862e6, -3.4087319890747316e7, -6.390511538798266e7, -6.6157540658452444e7, -1.4368494882690814e8, -1.501395701363696e8, -1.5058571872434708e8, -1.5059966476981023e8, -1.5060038324313223e8)","(0.039999985694885255, 0.06200003623962402, 0.09066668351491293, 0.22593336105346679, 0.45810000896453856, 0.6154333591461182, 1.9800999720891317, 3.3083666801452636, 3.7339000066121417, 3.9353333711624146, 4.084300025304159)"
WorldLarge_base.txt,Gurobi,test_choice,0.55,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313223e8,0.7167334238688151,0.474666698773702,4.252666600545248,5.518566679954529,1464.0,0.0,37224.0,12.0,"(0.6602152513903443, 0.7732515963472859)","(0.4373033765059168, 0.5120300210414872)","(4.238794365777495, 4.266538835313001)","(5.460908019144769, 5.576225340764289)","(1464.0, 1464.0)","(0.0, 0.0)","(37224.0, 37224.0)","(12.0, 12.0)",5.0,-2.8316742812813547e7,"(0.011233353614807129, 0.01793332099914551, 0.040666659673055015, 0.044266668955485027, 0.04529999891916911, 0.09620000521341959, 0.10596667925516765, 0.07723337014516195, 0.05700002511342366, 0.06550001303354899, 0.0935999870300293, 0.06183334191640218)","(0.008466696739196778, 0.0006666898727416993, 0.0013000011444091798, 0.003533331553141276, 0.0030666987101236978, 0.18793333371480306, 0.21286664803822836, 0.03363331953684489, 0.0062999804814656574, 0.016266663869222004, 0.0006333351135253906)","(0.020166675249735515, 0.014133302370707194, 0.0069666624069213865, 0.02410002549489339, 0.038899985949198405, 0.01896665096282959, 1.1449333031972249, 2.0749666611353557, 0.4609333276748657, 0.31230000654856366, 0.0917666753133138, 0.04456665515899658)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1443.0, 126.0, 618.0, 592.0, 162.0, 18424.0, 13797.0, 1770.0, 238.0, 46.0, 8.0)","(1.16854e8, 8.57390230594963e6, 3.118004987842877e6, -1.317110198308508e7, -2.8316742812813547e7, -3.0969494280682914e7, -1.4096556773975512e8, -1.4981317348116305e8, -1.5047279567317483e8, -1.5059840901203492e8, -1.5060037115615976e8, -1.5060038324313223e8)","(0.04070002237955729, 0.06376667022705078, 0.0934000015258789, 0.16660002867380777, 0.2584666728973389, 0.32953335444132487, 1.7640999794006347, 4.165633328755697, 4.746900002161662, 5.128066682815552, 5.307833353678386, 5.450599988301595)"
WorldLarge_base.txt,Gurobi,choose_10p_less,0.35,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313247e8,0.7310332934061686,0.3990000009536743,4.288200068473816,5.489033309618632,1342.0,0.0,33603.0,11.0,"(0.6703712184101648, 0.7916953684021725)","(0.3670802502113662, 0.43091975169598246)","(4.27953820974964, 4.296861927197991)","(5.428426893139033, 5.549639726098231)","(1342.0, 1342.0)","(0.0, 0.0)","(33603.0, 33603.0)","(11.0, 11.0)",5.0,-1.3514754123574778e8,"(0.016600004831949868, 0.0293333371480306, 0.09633332888285319, 0.09773332277933756, 0.09000000953674317, 0.0786999781926473, 0.05066663424173991, 0.06166667143503825, 0.07510000069936117, 0.07183334827423096, 0.06306665738423665)","(0.007633328437805176, 0.00453332265218099, 0.0855666716893514, 0.08626665274302164, 0.0897999922434489, 0.09470003445943197, 0.026466679573059083, 0.002933327356974284, 0.0010999917984008789, 0.0)","(0.024933338165283203, 0.01293334166208903, 0.01830001672108968, 0.3940333366394043, 1.6190666993459066, 0.9505333503087362, 0.7072999874750773, 0.3159333308537801, 0.1782666762669881, 0.038066673278808597, 0.02883331775665283)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1296.0, 1064.0, 10991.0, 7924.0, 6084.0, 4818.0, 1305.0, 108.0, 12.0, 1.0)","(1.16854e8, 1.9509165448651787e7, 8.236832982356847e6, -8.671719924890108e7, -1.3514754123574778e8, -1.3905790638149405e8, -1.498829386181626e8, -1.5056689210491082e8, -1.50600144879681e8, -1.506003809679147e8, -1.5060038324313247e8)","(0.05083331267038981, 0.07183331648508708, 0.12826666831970215, 0.7117666641871134, 2.5185666640599567, 3.6547333240509032, 4.541733320554098, 4.940633304913839, 5.189399981498719, 5.308833328882853, 5.421699976921081)"
WorldLarge_base.txt,Gurobi,choose_10p_less,0.4,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.506003832431325e8,0.7812666495641073,0.38086667855580647,3.466866660118103,4.725100000699361,1464.0,0.0,32395.0,12.0,"(0.7092215950310471, 0.8533117040971675)","(0.36589257847533796, 0.395840778636275)","(3.455761538117391, 3.4779717821188147)","(4.652613727566909, 4.797586273831813)","(1464.0, 1464.0)","(0.0, 0.0)","(32395.0, 32395.0)","(12.0, 12.0)",5.0,-1.2282652447694299e8,"(0.012400023142496745, 0.022066672643025715, 0.08343332608540853, 0.08223334153493246, 0.08866670131683349, 0.07853328386942546, 0.06783332029978434, 0.05903335412343343, 0.0713333288828532, 0.06720000108083089, 0.06249996026357015, 0.08603333632151286)","(0.010466647148132325, 0.003133352597554525, 0.06979999542236329, 0.058433334032694496, 0.06499999364217122, 0.13070000012715657, 0.033300018310546874, 0.00473332405090332, 0.005033342043558756, 0.00026667118072509766, 0.0)","(0.02173329989115397, 0.013099996248881023, 0.007833313941955567, 0.3435333490371704, 0.5495333035786947, 0.6394333759943645, 0.9876000086466471, 0.5464999914169312, 0.20076666673024496, 0.08756666978200277, 0.04269999663035075, 0.026600027084350587)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1296.0, 372.0, 8195.0, 5605.0, 5154.0, 9655.0, 1887.0, 154.0, 62.0, 13.0, 2.0)","(1.16854e8, 1.9509165448651787e7, 1.1786737396543898e7, -7.358298237855367e7, -1.2282652447694299e8, -1.2969253573426875e8, -1.4933767257380632e8, -1.5053824317287067e8, -1.505973684184551e8, -1.5060030317968047e8, -1.506003804772371e8, -1.506003832431325e8)","(0.04453335603078206, 0.06829999287923177, 0.10629998048146566, 0.60993332862854, 1.303766632080078, 2.1022000312805176, 3.3061999797821047, 3.9580666462580365, 4.230199980735779, 4.417166670163472, 4.535999981562297, 4.631899992624919)"
WorldLarge_base.txt,Gurobi,choose_10p_less,0.45,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313247e8,0.6971333424250284,0.5063666025797526,3.8091000080108643,5.0664000193278,1342.0,0.0,36369.0,11.0,"(0.6282696591564563, 0.7659970256936006)","(0.472719235749377, 0.5400139694101282)","(3.79758028211252, 3.8206197339092087)","(4.9988669432196, 5.133933095435999)","(1342.0, 1342.0)","(0.0, 0.0)","(36369.0, 36369.0)","(11.0, 11.0)",5.0,-1.052284851648105e8,"(0.011266636848449706, 0.02066664695739746, 0.0644333521525065, 0.06146666208902995, 0.06876665751139323, 0.10570000807444255, 0.06040000915527344, 0.08380000591278076, 0.08833335240681967, 0.06913334528605143, 0.06316666603088379)","(0.009366687138875325, 0.0008666674296061198, 0.04976662794748942, 0.039566667874654134, 0.05289997259775798, 0.24660000801086426, 0.09089998404184978, 0.013466660181681316, 0.0023999929428100584, 0.0005333344141642253)","(0.020166667302449544, 0.012833317120869955, 0.003933350245157878, 0.19980004628499348, 0.581933339436849, 0.2911666949590047, 1.1905999819437663, 0.904533322652181, 0.4154333194096883, 0.1390666405359904, 0.049633328119913736)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1296.0, 207.0, 6094.0, 3817.0, 3651.0, 16054.0, 4532.0, 605.0, 104.0, 9.0)","(1.16854e8, 1.9509165448651787e7, 1.2346325481777428e7, -6.0921669287787385e7, -1.052284851648105e8, -1.1208047920501281e8, -1.471211322800283e8, -1.5036666399928567e8, -1.5059323490871906e8, -1.5060033427985677e8, -1.5060038324313247e8)","(0.03910000324249267, 0.06180000305175781, 0.09130002657572428, 0.4080667018890381, 1.0962666908899943, 1.5137333552042642, 3.061200014750163, 4.120666670799255, 4.63916666507721, 4.8732999960581465, 4.997900001207987)"
WorldLarge_base.txt,Gurobi,choose_10p_less,0.5,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313247e8,0.614366602897644,0.3624666929244995,3.3280332962671917,4.376033361752828,1342.0,0.0,29639.0,11.0,"(0.5615595681195097, 0.6671736376757783)","(0.3308649459833525, 0.39406843986564655)","(3.3131294214262974, 3.342937171108086)","(4.327305643118544, 4.424761080387112)","(1342.0, 1342.0)","(0.0, 0.0)","(29639.0, 29639.0)","(11.0, 11.0)",5.0,-7.853059666742374e7,"(0.010833319028218586, 0.0182999849319458, 0.0518999973932902, 0.0535999854405721, 0.05900001525878906, 0.08546670277913411, 0.09870000680287679, 0.06369999249776205, 0.049266632397969565, 0.05803330739339193, 0.06556665897369385)","(0.010366686185201009, 0.0010333458582560222, 0.024599989255269367, 0.024866692225138345, 0.02349998950958252, 0.1473333199818929, 0.10783332188924154, 0.015366657574971517, 0.003533347447713216, 0.004033342997233073)","(0.020433330535888673, 0.01163329283396403, 0.002133337656656901, 0.08256668249766032, 0.2803666512171427, 0.12153333028157552, 1.1703333059946697, 1.0249000072479248, 0.3735333522160848, 0.19260000387827556, 0.048000001907348634)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1296.0, 86.0, 3032.0, 2509.0, 1260.0, 13968.0, 6468.0, 874.0, 130.0, 16.0)","(1.16854e8, 1.9509165448651787e7, 1.3321834481777428e7, -3.807421700954686e7, -7.853059666742374e7, -8.411422902237605e7, -1.4529450048090073e8, -1.5021825984823802e8, -1.5058088091581285e8, -1.5059990464507544e8, -1.5060038324313247e8)","(0.038466691970825195, 0.06106667518615723, 0.08793336550394694, 0.24946669737497965, 0.6118666966756184, 0.8190666913986206, 2.22910000483195, 3.4758000214894613, 3.9413000345230103, 4.191766699155171, 4.307000033060709)"
WorldLarge_base.txt,Gurobi,choose_10p_less,0.55,NN_models_inopt/WorldLarge_base.txt_static.csv.bson,NN_models_inopt/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313223e8,0.6301333665847778,0.4904666344324748,3.854366676012675,5.053266676266988,1342.0,0.0,37266.0,11.0,"(0.5840520453996679, 0.6762146877698877)","(0.4536525660262274, 0.5272807028387222)","(3.8336501192582886, 3.8750832327670612)","(5.008946357804663, 5.097586994729313)","(1342.0, 1342.0)","(0.0, 0.0)","(37266.0, 37266.0)","(11.0, 11.0)",5.0,-2.5900629504343506e7,"(0.010866689682006835, 0.026799996693929035, 0.048000001907348634, 0.04483331044514974, 0.0455333153406779, 0.1065666675567627, 0.10000002384185791, 0.06446669101715088, 0.052700010935465495, 0.06876664161682129, 0.061600017547607425)","(0.008466657002766926, 0.00020000934600830078, 0.0028333346048990886, 0.0032000064849853514, 0.0015999952952067058, 0.19036664962768554, 0.2286666711171468, 0.03793330987294515, 0.0146666685740153, 0.0025333325068155927)","(0.02156667709350586, 0.012066666285196941, 0.0029333353042602537, 0.024866676330566405, 0.03169999122619629, 0.01773334344228109, 1.6289333343505858, 1.3764666477839151, 0.45669999917348225, 0.21846669514973957, 0.06293330987294515)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1296.0, 40.0, 777.0, 524.0, 269.0, 19205.0, 13523.0, 1342.0, 258.0, 32.0)","(1.16854e8, 1.9509165448651787e7, 1.4473651481777428e7, -6.681187548597871e6, -2.5900629504343506e7, -3.2089501105015304e7, -1.4279909692848957e8, -1.4996406369834578e8, -1.5057327389858258e8, -1.5059932294462207e8, -1.5060038324313223e8)","(0.04429999987284342, 0.06530000368754069, 0.1, 0.1780666669209798, 0.26283331712086994, 0.3342666467030843, 2.266166647275289, 3.9824999968210855, 4.54639999071757, 4.846266674995422, 4.986699978510539)"
