instance_name,optimizer,choice_model,threshold,static_model_name,dynamic_model_name,objective_value,time_spent_in_pricing_mean,time_spent_adding_paths_mean,time_spent_in_master_mean,time_spent_total_mean,number_of_label_algo_calls_mean,number_of_fall_backs_mean,number_of_paths_mean,number_of_iterations_mean,time_spent_in_pricing_CI,time_spent_adding_paths_CI,time_spent_in_master_CI,time_spent_total_CI,number_of_label_algo_calls_CI,number_of_fall_backs_CI,number_of_paths_CI,number_of_iterations_CI,fallback_at_itteration,objval_at_fallback,vector_of_it_of_time_spent_in_pricing,vector_of_it_of_time_spent_adding_paths,vector_of_it_of_time_spent_in_master,vector_of_it_of_label_algo_calls,vector_of_it_of_fall_backs,vector_of_it_of_paths,vector_of_it_of_objval,vector_of_it_times
WorldLarge_base.txt,Gurobi,no_choice,0.35,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313214e8,0.6733333269755045,0.5743335882822672,3.7813331286112466,5.07533327738444,1342.0,0.0,31916.0,11.0,"(0.36206877739694626, 0.9845978765540628)","(0.41654921990763993, 0.7321179566568945)","(3.6747087762727753, 3.887957480949718)","(4.970106278656404, 5.180560276112477)","(1342.0, 1342.0)","(0.0, 0.0)","(31916.0, 31916.0)","(11.0, 11.0)",5.0,-1.1035118408545184e8,"(0.016666650772094727, 0.06766668955485027, 0.09133330980936687, 0.06566667556762695, 0.0753333568572998, 0.09399994214375813, 0.057666619618733726, 0.05000003178914388, 0.04866663614908854, 0.05366675059000651, 0.052666664123535156)","(0.06133333841959635, 0.042333364486694336, 0.05200012524922689, 0.030000050862630207, 0.027666648228963215, 0.3076666196187337, 0.04166674613952637, 0.011333306630452475, 0.0003333886464436849, 0.0)","(0.023333311080932617, 0.046000003814697266, 0.26533325513203937, 0.4146665732065837, 0.48200003306070965, 0.5513333479563395, 0.9279999732971191, 0.6796666781107584, 0.2369999885559082, 0.11666663487752278, 0.03733332951863607)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(3354.0, 5093.0, 5524.0, 2135.0, 2535.0, 10424.0, 2547.0, 258.0, 44.0, 2.0)","(1.16854e8, -2.8441549770284202e7, -7.035957578621356e7, -1.023172939212925e8, -1.1035118408545184e8, -1.2049864134023935e8, -1.4900838788531664e8, -1.5053641643578053e8, -1.5059843509434223e8, -1.506003633540322e8, -1.5060038324313214e8)","(0.05066657066345215, 0.16266663869222006, 0.5429999033610026, 1.1013333002726238, 1.6796666781107585, 2.334333340326945, 3.6693332195281982, 4.457000017166138, 4.7553333441416425, 4.9293332894643145, 5.021999994913737)"
WorldLarge_base.txt,Gurobi,no_choice,0.4,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313223e8,0.800666888554891,0.4286666711171468,3.9863330523173013,5.28166659673055,1464.0,0.0,35468.0,12.0,"(0.2610570924367406, 1.3402766846730414)","(0.3863391846518027, 0.47099415758249086)","(3.7660367024636967, 4.206629402170906)","(4.811761516076249, 5.751571677384851)","(1464.0, 1464.0)","(0.0, 0.0)","(35468.0, 35468.0)","(12.0, 12.0)",5.0,-9.782219920776929e7,"(0.04300006230672201, 0.04133335749308268, 0.0603334108988444, 0.061333258946736656, 0.054999987284342446, 0.14400005340576172, 0.058666626612345375, 0.051000118255615234, 0.05133342742919922, 0.05066665013631185, 0.0603333314259847, 0.12366660435994466)","(0.01899997393290202, 0.027666648228963215, 0.05233335494995117, 0.007666746775309245, 0.013666709264119467, 0.18666664759318033, 0.10199999809265137, 0.01699995994567871, 0.002666632334391276, 0.0, 0.0)","(0.02733325958251953, 0.05733331044514974, 0.28833333651224774, 0.25300002098083496, 0.20966657002766928, 0.12166666984558105, 1.5979999701182048, 0.8233333428700765, 0.31199995676676434, 0.1869999567667643, 0.06733330090840657, 0.04133335749308268)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(3354.0, 3987.0, 3439.0, 1444.0, 840.0, 15319.0, 6009.0, 875.0, 181.0, 14.0, 6.0)","(1.16854e8, -2.8441549770284202e7, -6.698694253964243e7, -8.950384958328588e7, -9.782219920776929e7, -9.924360179754849e7, -1.4621920849871054e8, -1.5024025799491417e8, -1.505841527853641e8, -1.5060001104035705e8, -1.5060034982813218e8, -1.5060038324313223e8)","(0.0796666940053304, 0.15599997838338217, 0.5253332455952963, 0.8926666577657064, 1.181666612625122, 1.371999979019165, 3.300999959309896, 4.29366660118103, 4.6796665986378985, 4.920666615168254, 5.043999910354614, 5.150333325068156)"
WorldLarge_base.txt,Gurobi,no_choice,0.45,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.506003832431323e8,0.5980000495910645,0.41266663869222003,3.623666524887085,4.751000086466472,1464.0,0.0,31736.0,12.0,"(0.45334278826057695, 0.742657310921552)","(0.15490914951904516, 0.6704241278653948)","(3.573715304594461, 3.6736177451797087)","(4.708769844865782, 4.793230328067161)","(1464.0, 1464.0)","(0.0, 0.0)","(31736.0, 31736.0)","(12.0, 12.0)",5.0,-7.796812482163277e7,"(0.016000032424926758, 0.035000006357828774, 0.04800001780192057, 0.0453333854675293, 0.0496667226155599, 0.07333334287007649, 0.0646666685740153, 0.04699993133544922, 0.043666680653889976, 0.04866663614908854, 0.056333303451538086, 0.07033332188924153)","(0.023000081380208332, 0.020666758219401043, 0.016000032424926758, 0.0539999802907308, 0.01099999745686849, 0.15566658973693848, 0.10233330726623535, 0.02066659927368164, 0.008999983469645182, 0.0, 0.0003333091735839844)","(0.028333346048990887, 0.05033318201700846, 0.1876664956410726, 0.18066668510437012, 0.05000003178914388, 0.2369999885559082, 1.209666649500529, 1.0820000171661377, 0.4023333390553792, 0.11933334668477376, 0.04833340644836426, 0.028000036875406902)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(3354.0, 2709.0, 1748.0, 550.0, 1351.0, 14319.0, 6458.0, 1134.0, 95.0, 13.0, 5.0)","(1.16854e8, -2.8441549770284202e7, -6.147821049374691e7, -7.67141376700182e7, -7.796812482163277e7, -8.689856702594544e7, -1.446453984990857e8, -1.5008511783450094e8, -1.5058482274977967e8, -1.505997638288047e8, -1.506003592474306e8, -1.506003832431323e8)","(0.04800009727478027, 0.1226666768391927, 0.3729999860127767, 0.6186667283376058, 0.7786667346954346, 1.0790000756581624, 2.521666685740153, 3.82366673151652, 4.30133334795634, 4.479333400726318, 4.576666752497355, 4.671333392461141)"
WorldLarge_base.txt,Gurobi,no_choice,0.5,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313232e8,0.7826666037241617,0.4526666005452474,3.2883331775665283,4.6166666348775225,1464.0,0.0,31443.0,12.0,"(0.1635202903794668, 1.4018129170688567)","(0.10009090329655462, 0.8052422977939402)","(3.2008102979806634, 3.3758560571523932)","(4.243944089796133, 4.989389179958912)","(1464.0, 1464.0)","(0.0, 0.0)","(31443.0, 31443.0)","(12.0, 12.0)",5.0,-6.0664364115844995e7,"(0.01599995295206706, 0.03299999237060547, 0.03900003433227539, 0.037666638692220054, 0.036666552225748696, 0.06833338737487793, 0.05533329645792643, 0.05400005976359049, 0.13000003496805826, 0.05000003178914388, 0.05033334096272787, 0.21233328183492026)","(0.021666606267293293, 0.016000032424926758, 0.004999955495198567, 0.0, 0.009666681289672852, 0.26166661580403644, 0.1119999885559082, 0.026000022888183594, 0.0006666978200276693, 0.0, 0.0)","(0.015333334604899088, 0.05033342043558756, 0.11166652043660481, 0.048999945322672524, 0.03933326403299967, 0.06799999872843425, 0.9470000267028809, 1.1610000133514404, 0.47299997011820477, 0.2966667016347249, 0.052666664123535156, 0.02433331807454427)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(3354.0, 1664.0, 804.0, 113.0, 315.0, 16268.0, 7380.0, 1355.0, 159.0, 30.0, 1.0)","(1.16854e8, -2.8441549770284202e7, -5.2488682532822706e7, -6.003354580898423e7, -6.0664364115844995e7, -6.394022975009525e7, -1.4319821775598544e8, -1.499689304982965e8, -1.5056818087131634e8, -1.5059964361648595e8, -1.506003809679148e8, -1.5060038324313232e8)","(0.053333282470703125, 0.12633339564005533, 0.2929999033610026, 0.3919999599456787, 0.4699999491373698, 0.5889999866485596, 1.8739999930063884, 3.2160000006357827, 3.7709999879201255, 4.210000038146973, 4.319000005722046, 4.395999987920125)"
WorldLarge_base.txt,Gurobi,no_choice,0.55,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313232e8,0.6820001602172852,0.4826666514078776,4.2749998569488525,5.609333435694377,1586.0,0.0,34461.0,13.0,"(0.31866216205832826, 1.045338158376242)","(0.22496953700141353, 0.7403637658143417)","(4.1732706115438765, 4.376729102353829)","(5.375028600091279, 5.843638271297475)","(1586.0, 1586.0)","(0.0, 0.0)","(34461.0, 34461.0)","(13.0, 13.0)",5.0,-5.187634515741968e7,"(0.016333262125651043, 0.03633340199788412, 0.04400014877319336, 0.03466661771138509, 0.04266667366027832, 0.07599997520446777, 0.0666666825612386, 0.04933333396911621, 0.13033342361450195, 0.04399991035461426, 0.04999995231628418, 0.04633339246114095, 0.0453333854675293)","(0.021666685740152996, 0.015333334604899088, 0.0006666183471679688, 0.001666704813639323, 0.0, 0.1723333199818929, 0.2266667683919271, 0.0323332150777181, 0.006333271662394206, 0.0056667327880859375, 0.0, 0.0)","(0.023333231608072918, 0.04933333396911621, 0.14133326212565103, 0.041666666666666664, 0.014333327611287435, 0.020333290100097656, 1.521999994913737, 1.2613333066304524, 0.5903334617614746, 0.41666658719380695, 0.12233336766560872, 0.03566678365071615, 0.03633324305216471)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(3354.0, 1491.0, 489.0, 65.0, 22.0, 16900.0, 10092.0, 1670.0, 309.0, 61.0, 6.0, 2.0)","(1.16854e8, -2.8441549770284202e7, -4.78963464040519e7, -5.18482159528657e7, -5.187634515741968e7, -5.232272844455329e7, -1.4247934275989127e8, -1.498026571723301e8, -1.5052618157046264e8, -1.5059858033554158e8, -1.5060035682760686e8, -1.506003579670012e8, -1.5060038324313232e8)","(0.0496667226155599, 0.12100005149841309, 0.31400005022684735, 0.4056667486826579, 0.4670000871022542, 0.5329999923706055, 2.308333396911621, 3.9810001055399575, 4.658666769663493, 5.21399998664856, 5.391666730244954, 5.477666775385539, 5.562666734059651)"
WorldLarge_base.txt,Gurobi,test_choice,0.35,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313226e8,0.7949998378753662,0.4503335158030192,4.283666531244914,5.565333366394043,1464.0,0.0,34737.0,12.0,"(0.2987496710358362, 1.2912500047148963)","(0.26254997657770696, 0.6381170550283315)","(4.257337534636292, 4.309995527853536)","(5.129990008857922, 6.000676723930164)","(1464.0, 1464.0)","(0.0, 0.0)","(34737.0, 34737.0)","(12.0, 12.0)",5.0,-1.0747036352024172e8,"(0.06933339436848958, 0.03899995485941569, 0.059999942779541016, 0.09233331680297852, 0.13733331362406412, 0.08299994468688965, 0.05533329645792643, 0.05433328946431478, 0.049666643142700195, 0.05266674359639486, 0.048333326975504555, 0.05366667111714681)","(0.0323332945505778, 0.05833331743876139, 0.05833331743876139, 0.03766671816507975, 0.005333344141642253, 0.16100009282430014, 0.0776666800181071, 0.01400009791056315, 0.005666653315226237, 0.0, 0.0)","(0.019999901453653973, 0.09733343124389648, 0.3176666895548503, 0.39366674423217773, 0.4029999574025472, 0.21700000762939453, 1.1783332824707031, 0.9176665941874186, 0.44733333587646484, 0.21733331680297852, 0.04366660118103027, 0.030666669209798176)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(4267.0, 2903.0, 6235.0, 3022.0, 619.0, 12054.0, 4740.0, 728.0, 159.0, 9.0, 1.0)","(1.16854e8, -4.8119907580806695e7, -6.6723015970704414e7, -1.01424031488856e8, -1.0747036352024172e8, -1.0899336922604883e8, -1.4776063908500978e8, -1.5026068296082833e8, -1.50565615921435e8, -1.5060030780308035e8, -1.5060038096791467e8, -1.5060038324313226e8)","(0.10233338673909505, 0.23233342170715332, 0.6490000089009603, 1.1666667461395264, 1.7000000476837158, 2.059666713078817, 3.4820000330607095, 4.538333336512248, 5.054000059763591, 5.326999982198079, 5.423333326975505, 5.508666753768921)"
WorldLarge_base.txt,Gurobi,test_choice,0.4,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313235e8,1.0339998404184978,0.46199997266133624,3.996999820073446,5.566666682561238,1464.0,0.0,36439.0,12.0,"(0.11734332774518041, 1.9506563530918153)","(0.36480062817824704, 0.5591993171444254)","(3.8852137296521754, 4.108785910494716)","(4.529687775526705, 6.6036455895957715)","(1464.0, 1464.0)","(0.0, 0.0)","(36439.0, 36439.0)","(12.0, 12.0)",5.0,-9.891141739860167e7,"(0.020333290100097656, 0.033333381017049156, 0.0713333288828532, 0.05133326848347982, 0.07933330535888672, 0.08933337529500325, 0.06733338038126628, 0.05933332443237305, 0.047999938329060875, 0.06433320045471191, 0.18633333841959634, 0.26366670926411945)","(0.027000029881795246, 0.0236666202545166, 0.0366667111714681, 0.033333381017049156, 0.00966660181681315, 0.21666661898295084, 0.10466663042704265, 0.004999955495198567, 0.0050000349680582685, 0.0, 0.0003333886464436849)","(0.019999980926513672, 0.10466655095418294, 0.2656666437784831, 0.2796666622161865, 0.37166666984558105, 0.07300003369649251, 1.1923333009084065, 0.9009999434153239, 0.4176666736602783, 0.22133334477742514, 0.07833337783813477, 0.07166663805643718)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(4267.0, 2492.0, 4085.0, 2366.0, 477.0, 15769.0, 6038.0, 747.0, 131.0, 29.0, 38.0)","(1.16854e8, -4.8119907580806695e7, -6.5762353119869374e7, -9.321116999343045e7, -9.891141739860167e7, -9.980236498472404e7, -1.467773603008294e8, -1.5017031427881312e8, -1.5056875122312045e8, -1.505997863775872e8, -1.5060032236252585e8, -1.5060038324313235e8)","(0.056333303451538086, 0.18833327293395996, 0.5116666158040365, 0.9056666692097982, 1.3680000305175781, 1.537999947865804, 3.0426665941874185, 4.119333267211914, 4.601999998092651, 4.883666753768921, 5.028666655222575, 5.293999989827474)"
WorldLarge_base.txt,Gurobi,test_choice,0.45,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313232e8,0.6759998003641764,0.501666784286499,3.8413333892822266,5.091000000635783,1586.0,0.0,36160.0,13.0,"(0.4924237669666296, 0.8595758337617232)","(0.31375142890030416, 0.6895821396726939)","(3.6625054203027876, 4.0201613582616655)","(4.999693036828632, 5.182306964442934)","(1586.0, 1586.0)","(0.0, 0.0)","(36160.0, 36160.0)","(13.0, 13.0)",5.0,-8.438482570552449e7,"(0.016333341598510742, 0.026333332061767578, 0.04166658719380697, 0.040666659673055015, 0.04766662915547689, 0.08500003814697266, 0.06433327992757161, 0.050333261489868164, 0.049666643142700195, 0.046666622161865234, 0.05433328946431478, 0.05733338991800944, 0.09566672643025716)","(0.030000050862630207, 0.020999987920125324, 0.017666737238566082, 0.015666723251342773, 0.003999948501586914, 0.2709999879201253, 0.12166674931844075, 0.02066659927368164, 0.0, 0.0, 0.0, 0.0)","(0.02866665522257487, 0.09333324432373047, 0.2796667416890462, 0.22966663042704263, 0.13166658083597818, 0.13733339309692383, 1.3100000222524006, 0.9286666711171468, 0.3683334191640218, 0.11266668637593587, 0.07666675249735515, 0.07466665903727214, 0.06999993324279785)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(4267.0, 2190.0, 2119.0, 1005.0, 610.0, 18053.0, 6960.0, 811.0, 78.0, 21.0, 40.0, 6.0)","(1.16854e8, -4.8119907580806695e7, -6.400764942540684e7, -8.207670587463371e7, -8.438482570552449e7, -8.844985309307617e7, -1.4535351539739662e8, -1.5022227816920894e8, -1.5059231786887333e8, -1.5059897154148206e8, -1.5060024077452037e8, -1.5060034184107885e8, -1.5060038324313232e8)","(0.08233332633972168, 0.20599993069966635, 0.5390000343322754, 0.828333298365275, 1.0176665782928467, 1.2079999446868896, 2.8793333371480307, 3.9953333536783853, 4.435666640599568, 4.603333314259847, 4.733333349227905, 4.862333297729492, 4.9896666208903)"
WorldLarge_base.txt,Gurobi,test_choice,0.5,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313226e8,0.8753334681193033,0.38499991099039715,3.3509999910990396,4.658666690190633,1464.0,0.0,32814.0,12.0,"(0.8114985529072651, 0.9391683833313416)","(0.3563508689268814, 0.4136489530539129)","(3.1584670475943644, 3.5435329346037148)","(4.440679831425592, 4.876653548955674)","(1464.0, 1464.0)","(0.0, 0.0)","(32814.0, 32814.0)","(12.0, 12.0)",5.0,-7.083396394751361e7,"(0.019666592280069988, 0.0366667111714681, 0.04866671562194824, 0.04500007629394531, 0.04399998982747396, 0.08033331235249837, 0.07100001970926921, 0.2303333282470703, 0.04900002479553223, 0.1510001023610433, 0.0516666571299235, 0.047999938329060875)","(0.026666641235351562, 0.021666606267293293, 0.003999948501586914, 0.001333316167195638, 0.001333316167195638, 0.17333332697550455, 0.12833340962727866, 0.018666664759318035, 0.009666681289672852, 0.0, 0.0)","(0.018000046412150066, 0.10000006357828777, 0.2456666628519694, 0.07633336385091145, 0.05800000826517741, 0.13733339309692383, 0.9453333218892416, 1.0329999128977458, 0.4760000705718994, 0.13833324114481607, 0.08566665649414062, 0.03733325004577637)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(4267.0, 2111.0, 783.0, 320.0, 343.0, 15834.0, 7975.0, 992.0, 171.0, 12.0, 6.0)","(1.16854e8, -4.8119907580806695e7, -6.3657248131812386e7, -6.915284060887355e7, -7.083396394751361e7, -7.43156528656433e7, -1.4428355683497408e8, -1.501641218796858e8, -1.5056002918957788e8, -1.505990253789425e8, -1.5060036448138258e8, -1.5060038324313226e8)","(0.05233335494995117, 0.18000006675720215, 0.4840000470479329, 0.6130000750223795, 0.7203334172566732, 0.9080000718434652, 2.1080000400543213, 3.3450000286102295, 4.0736667315165205, 4.278333346048991, 4.515000104904175, 4.604666709899902)"
WorldLarge_base.txt,Gurobi,test_choice,0.55,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313217e8,0.9933332602183024,0.3540000915527344,3.6176666418711343,5.0546665986378985,1708.0,0.0,32103.0,14.0,"(0.22365017689354427, 1.7630163435430606)","(0.3043797849029883, 0.40362039820248047)","(3.5659552884728183, 3.6693779952694503)","(4.347034732949582, 5.762298464326215)","(1708.0, 1708.0)","(0.0, 0.0)","(32103.0, 32103.0)","(14.0, 14.0)",5.0,-6.5656801635863155e7,"(0.01899997393290202, 0.03333330154418945, 0.041666666666666664, 0.03900003433227539, 0.03533339500427246, 0.07033340136210124, 0.06866661707560222, 0.04999995231628418, 0.05000003178914388, 0.06066664059956869, 0.06566667556762695, 0.06199995676676432, 0.08166662851969402, 0.31599998474121094)","(0.02866665522257487, 0.02000006039937337, 0.0003333091735839844, 0.0003333886464436849, 0.0, 0.1726666291554769, 0.10666664441426595, 0.019666751225789387, 0.005666653315226237, 0.0, 0.0, 0.0, 0.0)","(0.019666671752929688, 0.09566664695739746, 0.23599998156229654, 0.06866661707560222, 0.010999917984008789, 0.04900002479553223, 1.1550000508626301, 1.1610000133514404, 0.43066660563151044, 0.1443333625793457, 0.08533334732055664, 0.0539999802907308, 0.06600006421407063, 0.04133335749308268)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(4267.0, 2072.0, 581.0, 78.0, 119.0, 16053.0, 7613.0, 1152.0, 105.0, 45.0, 12.0, 5.0, 1.0)","(1.16854e8, -4.8119907580806695e7, -6.2996562709648766e7, -6.55389489042205e7, -6.5656801635863155e7, -6.8115675402621e7, -1.4335597712925556e8, -1.5010683419612697e8, -1.5056477806164655e8, -1.505980556500006e8, -1.5060014332090628e8, -1.506003428410789e8, -1.5060037530465555e8, -1.5060038324313217e8)","(0.07199994723002116, 0.19699994723002115, 0.48633329073588055, 0.6023332277933756, 0.6626666386922201, 0.7550000349680582, 2.1613333225250244, 3.506333271662394, 4.0066665808359785, 4.206666628519694, 4.357999960581462, 4.477666616439819, 4.605666637420654, 4.731666644414266)"
