instance_name,optimizer,choice_model,threshold,static_model_name,dynamic_model_name,objective_value,time_spent_in_pricing_mean,time_spent_adding_paths_mean,time_spent_in_master_mean,time_spent_total_mean,number_of_label_algo_calls_mean,number_of_fall_backs_mean,number_of_paths_mean,number_of_iterations_mean,time_spent_in_pricing_CI,time_spent_adding_paths_CI,time_spent_in_master_CI,time_spent_total_CI,number_of_label_algo_calls_CI,number_of_fall_backs_CI,number_of_paths_CI,number_of_iterations_CI,fallback_at_itteration,objval_at_fallback,vector_of_it_of_time_spent_in_pricing,vector_of_it_of_time_spent_adding_paths,vector_of_it_of_time_spent_in_master,vector_of_it_of_label_algo_calls,vector_of_it_of_fall_backs,vector_of_it_of_paths,vector_of_it_of_objval,vector_of_it_times
WorldLarge_base.txt,Gurobi,no_choice,0.35,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313214e8,0.5905334313710531,0.3868333578109741,3.728633236885071,4.785766657193502,1342.0,0.0,31916.0,11.0,"(0.5597641243470285, 0.6213027383950777)","(0.3553909795823595, 0.41827573603958873)","(3.67257349698393, 3.784692976786212)","(4.705162830304452, 4.866370484082552)","(1342.0, 1342.0)","(0.0, 0.0)","(31916.0, 31916.0)","(11.0, 11.0)",5.0,-1.1035118408545192e8,"(0.016733352343241373, 0.051600042978922525, 0.07286668618520101, 0.06723332405090332, 0.06710005601247152, 0.07046667734781902, 0.05136668682098389, 0.04869999885559082, 0.043399961789449056, 0.04596667289733887, 0.05509997208913167)","(0.021433353424072266, 0.042700004577636716, 0.052500001589457196, 0.02503333886464437, 0.03829998175303141, 0.15410001277923585, 0.04463333288828532, 0.004366660118103027, 0.0037666718165079755, 0.0)","(0.02113333543141683, 0.05166662534077962, 0.26233330567677815, 0.41136666138966876, 0.48666663964589435, 0.5412999947865804, 0.9186999877293904, 0.6656333287556966, 0.2221333424250285, 0.11113332907358806, 0.03656668663024902)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(3354.0, 5093.0, 5524.0, 2135.0, 2535.0, 10424.0, 2547.0, 258.0, 44.0, 2.0)","(1.16854e8, -2.8441549770284183e7, -7.035957578621359e7, -1.0231729392129247e8, -1.1035118408545192e8, -1.2049864134023939e8, -1.4900838788531673e8, -1.5053641643578053e8, -1.5059843509434223e8, -1.5060036335403216e8, -1.5060038324313214e8)","(0.04943334261576335, 0.12596664428710938, 0.48663332462310793, 1.0288000027338664, 1.614733306566874, 2.268333331743876, 3.416333317756653, 4.181633329391479, 4.460400001207987, 4.626499994595846, 4.713500006993612)"
WorldLarge_base.txt,Gurobi,no_choice,0.4,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313217e8,0.6853332837422689,0.47230009237925213,3.7989999691645306,5.039166688919067,1464.0,0.0,35468.0,12.0,"(0.6227710798833272, 0.7478954876012105)","(0.42918923814891247, 0.5154109466095919)","(3.7774001934334485, 3.820599744895613)","(4.9698005587359715, 5.108532819102163)","(1464.0, 1464.0)","(0.0, 0.0)","(35468.0, 35468.0)","(12.0, 12.0)",5.0,-9.782219920776935e7,"(0.0163999875386556, 0.04529998302459717, 0.05276665687561035, 0.04919998645782471, 0.05280000368754069, 0.09269998868306478, 0.06503333250681559, 0.06639997164408366, 0.06983330249786376, 0.06313336690266927, 0.06780003706614177, 0.04396666685740153)","(0.02053334712982178, 0.03193333943684896, 0.03216667970021566, 0.015566682815551758, 0.007899991671244304, 0.22113335927327474, 0.10400001207987468, 0.032366673151652016, 0.005700016021728515, 0.0008666515350341797, 0.00013333956400553385)","(0.020200014114379883, 0.051599987347920734, 0.27573332786560056, 0.23190001646677652, 0.19523332118988038, 0.12016668319702148, 1.5349333127339682, 0.7907333215077718, 0.2974666754404704, 0.18066665331522624, 0.06196667353312175, 0.03839998245239258)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(3354.0, 3987.0, 3439.0, 1444.0, 840.0, 15319.0, 6009.0, 875.0, 181.0, 14.0, 6.0)","(1.16854e8, -2.8441549770284183e7, -6.69869425396424e7, -8.950384958328585e7, -9.782219920776935e7, -9.924360179754846e7, -1.462192084987106e8, -1.5024025799491408e8, -1.5058415278536412e8, -1.5060001104035708e8, -1.5060034982813218e8, -1.5060038324313217e8)","(0.045133352279663086, 0.1176000197728475, 0.47396667798360187, 0.7984000285466512, 1.0635000149408975, 1.2510000149408975, 3.105900009473165, 4.071766678492228, 4.472700023651123, 4.7460999806722, 4.878733356793721, 4.991900014877319)"
WorldLarge_base.txt,Gurobi,no_choice,0.45,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313223e8,0.617900037765503,0.36279997825622556,3.5155333201090495,4.582366673151652,1464.0,0.0,31736.0,12.0,"(0.5787535513754061, 0.6570465241555998)","(0.33098769686948565, 0.3946122596429655)","(3.499827052822401, 3.531239587395698)","(4.527874213393173, 4.636859132910131)","(1464.0, 1464.0)","(0.0, 0.0)","(31736.0, 31736.0)","(12.0, 12.0)",5.0,-7.796812482163282e7,"(0.01703329881032308, 0.03740001519521077, 0.05150003433227539, 0.05126666227976481, 0.051433293024698894, 0.06750001907348632, 0.07596666018168131, 0.04839999675750732, 0.05783332983652751, 0.06870001951853434, 0.045800026257832846, 0.04506668249766032)","(0.0252000093460083, 0.021399990717569987, 0.012466645240783692, 0.0033666610717773436, 0.010833366711934408, 0.1565333127975464, 0.09096667766571045, 0.039499982198079424, 0.0025333325068155927, 0.0, 0.0)","(0.023166704177856445, 0.04783332347869873, 0.17583333651224772, 0.18120001157124838, 0.05000001589457194, 0.23166663646698, 1.1699333429336547, 1.041433334350586, 0.39703334172566734, 0.1143666664759318, 0.05036664803822835, 0.032699958483378096)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(3354.0, 2709.0, 1748.0, 550.0, 1351.0, 14319.0, 6458.0, 1134.0, 95.0, 13.0, 5.0)","(1.16854e8, -2.8441549770284183e7, -6.147821049374693e7, -7.67141376700182e7, -7.796812482163282e7, -8.689856702594547e7, -1.4464539849908578e8, -1.500851178345009e8, -1.5058482274977967e8, -1.505997638288046e8, -1.5060035924743068e8, -1.5060038324313223e8)","(0.051566672325134275, 0.12523335615793865, 0.3641000270843506, 0.6137667099634806, 0.7263667027155558, 1.0238333384195963, 2.423466674486796, 3.635766688982646, 4.1261000235875445, 4.303733356793722, 4.427133345603943, 4.522333335876465)"
WorldLarge_base.txt,Gurobi,no_choice,0.5,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313223e8,0.5898333470026652,0.3887999931971232,3.1983999729156496,4.268599979082743,1464.0,0.0,31443.0,12.0,"(0.5567650325929957, 0.6229016614123347)","(0.350941543451749, 0.42665844294249744)","(3.18314346044641, 3.213656485384889)","(4.216922471804371, 4.320277486361115)","(1464.0, 1464.0)","(0.0, 0.0)","(31443.0, 31443.0)","(12.0, 12.0)",5.0,-6.066436411584497e7,"(0.015866661071777345, 0.03533337116241455, 0.04073334534962972, 0.03643333911895752, 0.04046666622161865, 0.09733334382375082, 0.06739998658498128, 0.055466651916503906, 0.04523334503173828, 0.06560000578562418, 0.04473330179850261, 0.04523332913716634)","(0.021299997965494793, 0.011566646893819173, 0.006833346684773763, 0.001899997393290202, 0.007800006866455078, 0.1977000077565511, 0.11056668758392334, 0.02346666653951009, 0.004166650772094727, 0.0034999847412109375, 0.0)","(0.02200000286102295, 0.04823332627614339, 0.11336667537689209, 0.040399996439615886, 0.033633303642272946, 0.06219998995463053, 0.9243999878565471, 1.128000005086263, 0.46433334350585936, 0.2841333309809367, 0.04993332227071126, 0.027766688664754232)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(3354.0, 1664.0, 804.0, 113.0, 315.0, 16268.0, 7380.0, 1355.0, 159.0, 30.0, 1.0)","(1.16854e8, -2.8441549770284183e7, -5.248868253282269e7, -6.0033545808984265e7, -6.066436411584497e7, -6.39402297500953e7, -1.4319821775598538e8, -1.4996893049829662e8, -1.5056818087131637e8, -1.50599643616486e8, -1.506003809679147e8, -1.5060038324313223e8)","(0.04919999440511068, 0.1188666582107544, 0.28436666329701743, 0.3758333444595337, 0.4562666495641073, 0.5777666727701823, 1.804266667366028, 3.1141333262125652, 3.6640999873479205, 4.003099997838338, 4.1270666519800825, 4.203166659673055)"
WorldLarge_base.txt,Gurobi,no_choice,0.55,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313223e8,0.6806333780288696,0.4442333062489828,4.167133299509684,5.360766665140788,1586.0,0.0,34461.0,13.0,"(0.6303618776644158, 0.7309048783933234)","(0.4048312303783232, 0.48363538211964235)","(4.146525367296934, 4.187741231722435)","(5.308748733062968, 5.412784597218607)","(1586.0, 1586.0)","(0.0, 0.0)","(34461.0, 34461.0)","(13.0, 13.0)",5.0,-5.187634515741968e7,"(0.014966662724812825, 0.03853332996368408, 0.03623332977294922, 0.03689998785654704, 0.05019997755686442, 0.11199998060862223, 0.08363333543141684, 0.056300020217895506, 0.061800026893615724, 0.044700034459431964, 0.04473332564036051, 0.04300002257029215, 0.057633344332377115)","(0.022533337275187176, 0.012233320871988933, 0.002099974950154622, 3.333886464436849e-5, 0.000366663932800293, 0.18119999567667644, 0.1851999839146932, 0.0313666820526123, 0.00496667226155599, 0.0030666589736938477, 0.0006666739781697591, 0.0005000034968058268)","(0.02246666749318441, 0.049933338165283205, 0.14510000546773275, 0.044733341534932455, 0.011166675885518392, 0.016200009981791177, 1.485966674486796, 1.2294333378473918, 0.5759999593098958, 0.4026999791463216, 0.11569999853769938, 0.034466671943664554, 0.033266639709472655)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(3354.0, 1491.0, 489.0, 65.0, 22.0, 16900.0, 10092.0, 1670.0, 309.0, 61.0, 6.0, 2.0)","(1.16854e8, -2.8441549770284183e7, -4.789634640405188e7, -5.184821595286568e7, -5.187634515741968e7, -5.232272844455331e7, -1.424793427598914e8, -1.4980265717233002e8, -1.5052618157046267e8, -1.5059858033554164e8, -1.506003568276068e8, -1.5060035796700108e8, -1.5060038324313223e8)","(0.04569997787475586, 0.11886665026346842, 0.31886664231618245, 0.4095333178838094, 0.46106666723887124, 0.5347333272298177, 2.3173999865849813, 3.819333299001058, 4.487366628646851, 4.962499976158142, 5.1310999949773155, 5.216699997584025, 5.299133308728536)"
WorldLarge_base.txt,Gurobi,test_choice,0.35,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313223e8,0.7328999757766723,0.4331666628519694,4.19433335463206,5.415200010935465,1464.0,0.0,34737.0,12.0,"(0.655649728783308, 0.8101502227700367)","(0.3978522594218422, 0.4684810662820966)","(4.184535929245566, 4.204130780018554)","(5.342193539775778, 5.488206482095153)","(1464.0, 1464.0)","(0.0, 0.0)","(34737.0, 34737.0)","(12.0, 12.0)",5.0,-1.0747036352024172e8,"(0.02259998321533203, 0.03246668974558512, 0.06406667232513427, 0.06316665808359782, 0.057666659355163574, 0.0849999984105428, 0.06966667970021566, 0.049033339818318686, 0.07876664797465006, 0.06299997965494791, 0.05673333009084066, 0.09073333740234375)","(0.027933335304260253, 0.025366671880086265, 0.06183332602183024, 0.03379997412363688, 0.007400012016296387, 0.16223333676656088, 0.09336666266123454, 0.016100001335144044, 0.004233344395955404, 0.0007999976476033529, 0.00010000069936116537)","(0.02086668014526367, 0.09550000031789144, 0.31106664339701334, 0.38673333326975506, 0.39593336582183836, 0.20593332449595134, 1.1576666514078775, 0.9063000122706095, 0.430133326848348, 0.21296667257944743, 0.04286668300628662, 0.028366661071777342)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(4267.0, 2903.0, 6235.0, 3022.0, 619.0, 12054.0, 4740.0, 728.0, 159.0, 9.0, 1.0)","(1.16854e8, -4.811990758080671e7, -6.6723015970704384e7, -1.0142403148885597e8, -1.0747036352024172e8, -1.089933692260489e8, -1.477606390850097e8, -1.5026068296082833e8, -1.5056561592143494e8, -1.5060030780308044e8, -1.506003809679146e8, -1.5060038324313223e8)","(0.05143332481384277, 0.1750666618347168, 0.5504666566848755, 1.0662333329518636, 1.5636000076929728, 1.8369666735331218, 3.2467666546503704, 4.321500015258789, 4.819233338038127, 5.120633339881897, 5.230400005976359, 5.319166668256124)"
WorldLarge_base.txt,Gurobi,test_choice,0.4,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313247e8,0.7205333868662517,0.4616666793823242,3.9347333272298175,5.211000005404155,1464.0,0.0,36439.0,12.0,"(0.6644803498778474, 0.7765864238546559)","(0.43307978468516606, 0.49025357407948233)","(3.860595986935776, 4.008870667523859)","(5.108214876965804, 5.313785133842505)","(1464.0, 1464.0)","(0.0, 0.0)","(36439.0, 36439.0)","(12.0, 12.0)",5.0,-9.891141739860167e7,"(0.016766667366027832, 0.03233332633972168, 0.05846663316090902, 0.053166675567626956, 0.06490000883738199, 0.0995333433151245, 0.07320004304250081, 0.056399965286254884, 0.07763334910074869, 0.04680000940958659, 0.06090001265207926, 0.08043335278828939)","(0.027066667874654133, 0.02410000960032145, 0.037600008646647136, 0.030733323097229003, 0.010766688982645671, 0.19836666584014892, 0.11029998461405437, 0.016766675313313804, 0.004066665967305501, 0.0008666594823201497, 0.0010333299636840821)","(0.019566694895426433, 0.09556666215260824, 0.2640333334604899, 0.28296666145324706, 0.36766667366027833, 0.07389997641245524, 1.1769333283106487, 0.8835333426793416, 0.4116333564122518, 0.22009997367858886, 0.07149998346964519, 0.06733334064483643)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(4267.0, 2492.0, 4085.0, 2366.0, 477.0, 15769.0, 6038.0, 747.0, 131.0, 29.0, 38.0)","(1.16854e8, -4.811990758080671e7, -6.57623531198694e7, -9.321116999343047e7, -9.891141739860167e7, -9.980236498472404e7, -1.467773603008294e8, -1.5017031427881324e8, -1.5056875122312057e8, -1.505997863775873e8, -1.506003223625259e8, -1.5060038324313247e8)","(0.04553334712982178, 0.1686333417892456, 0.49336668650309246, 0.8762333313624064, 1.3333666801452637, 1.4879666725794474, 2.967633326848348, 4.0476333459218345, 4.537233352661133, 4.852633341153463, 4.991500004132589, 5.12516667842865)"
WorldLarge_base.txt,Gurobi,test_choice,0.45,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313223e8,0.7228998899459839,0.48596664269765216,3.6657333532969156,4.951966667175293,1586.0,0.0,36160.0,13.0,"(0.657070916872561, 0.7887288630194067)","(0.44915011070256666, 0.5227831746927377)","(3.6429582447547593, 3.688508461839072)","(4.889792151826881, 5.014141182523706)","(1586.0, 1586.0)","(0.0, 0.0)","(36160.0, 36160.0)","(13.0, 13.0)",5.0,-8.438482570552446e7,"(0.01696667671203613, 0.028299975395202636, 0.043600002924601235, 0.040433311462402345, 0.047133342425028486, 0.0827666441599528, 0.07779997984568278, 0.056066672007242836, 0.056766661008199056, 0.05713332494099935, 0.047699999809265134, 0.08799998760223389, 0.08023331165313721)","(0.030933308601379394, 0.02239999771118164, 0.02200001875559489, 0.008133323987325032, 0.003766663869222005, 0.2598333517710368, 0.11769998073577881, 0.01809999148050944, 0.0010666688283284505, 0.001099999745686849, 0.0008666674296061198, 6.666978200276693e-5)","(0.020366652806599935, 0.09453335603078207, 0.26246665318806967, 0.21779998143513998, 0.12596667607625325, 0.13590002059936523, 1.2491999864578247, 0.8937666734059652, 0.35226666132609047, 0.10933335622151692, 0.06633330186208089, 0.06866665681203206, 0.06913337707519532)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(4267.0, 2190.0, 2119.0, 1005.0, 610.0, 18053.0, 6960.0, 811.0, 78.0, 21.0, 40.0, 6.0)","(1.16854e8, -4.811990758080671e7, -6.4007649425406866e7, -8.207670587463374e7, -8.438482570552446e7, -8.844985309307621e7, -1.453535153973966e8, -1.5022227816920897e8, -1.5059231786887324e8, -1.50598971541482e8, -1.5060024077452037e8, -1.506003418410788e8, -1.5060038324313223e8)","(0.048466690381368, 0.17446668148040773, 0.49219998518625896, 0.7802666584650676, 0.9589333375295003, 1.150100040435791, 2.747233335177104, 3.843999989827474, 4.273199995358785, 4.4552666982014975, 4.583133331934611, 4.706233326594035, 4.8687666893005375)"
WorldLarge_base.txt,Gurobi,test_choice,0.5,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313223e8,0.6124000151952108,0.3968666156133016,3.1779333353042603,4.267133339246114,1464.0,0.0,32814.0,12.0,"(0.5651707795262889, 0.6596292508641327)","(0.3740617912235672, 0.419671440003036)","(3.154551322367709, 3.2013153482408114)","(4.219283488714607, 4.314983189777621)","(1464.0, 1464.0)","(0.0, 0.0)","(32814.0, 32814.0)","(12.0, 12.0)",5.0,-7.08339639475136e7,"(0.01696666081746419, 0.02953333854675293, 0.043133362134297686, 0.043399969736735024, 0.045600024859110515, 0.08356664180755616, 0.06496664683024088, 0.05469998518625895, 0.06283333301544189, 0.062000004450480144, 0.04883335431416829, 0.056866693496704104)","(0.02969996929168701, 0.023599990208943687, 0.005033302307128906, 0.0012666781743367512, 0.002133337656656901, 0.18776667912801107, 0.11970001856486003, 0.019899980227152506, 0.00559999148050944, 0.0016333341598510742, 0.0005333344141642253)","(0.019999988873799644, 0.09513336817423503, 0.23026666641235352, 0.07153334617614746, 0.045333329836527506, 0.12449997266133626, 0.9066666603088379, 0.9830000003178915, 0.456166672706604, 0.13916669686635336, 0.07023330529530843, 0.03593332767486572)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(4267.0, 2111.0, 783.0, 320.0, 343.0, 15834.0, 7975.0, 992.0, 171.0, 12.0, 6.0)","(1.16854e8, -4.811990758080671e7, -6.365724813181235e7, -6.915284060887359e7, -7.08339639475136e7, -7.431565286564328e7, -1.4428355683497417e8, -1.5016412187968582e8, -1.5056002918957794e8, -1.505990253789425e8, -1.506003644813825e8, -1.5060038324313223e8)","(0.04636666774749756, 0.17160000801086425, 0.4604999860127767, 0.583300010363261, 0.6783999919891357, 0.8651333332061768, 2.047266658147176, 3.2207000176111857, 3.7572999874750774, 3.9769666751225787, 4.1164333264033, 4.205966671307881)"
WorldLarge_base.txt,Gurobi,test_choice,0.55,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,NN_models_inpath/WorldLarge_base.txt_dynamic.csv.bson,-1.5060038324313214e8,0.7683667341868082,0.3590999603271484,3.4977333466211955,4.7162999947865805,1708.0,0.0,32103.0,14.0,"(0.7002549497163963, 0.8364785186572201)","(0.33780025003150665, 0.3803996706227902)","(3.4851376025967307, 3.5103290906456603)","(4.648396823905029, 4.784203165668132)","(1708.0, 1708.0)","(0.0, 0.0)","(32103.0, 32103.0)","(14.0, 14.0)",5.0,-6.565680163586313e7,"(0.01790000597635905, 0.027033336957295737, 0.036166683832804365, 0.03796667257944743, 0.04296665191650391, 0.07370001475016276, 0.07579996585845947, 0.0610000212987264, 0.08163337707519532, 0.05773332913716634, 0.07100000381469726, 0.06076667308807373, 0.04689998626708984, 0.07780001163482667)","(0.02906665802001953, 0.020533307393391927, 0.0025999784469604493, 0.0, 0.0011666774749755859, 0.1740666389465332, 0.10736671288808187, 0.02156666914621989, 0.0020999908447265625, 0.0005666653315226237, 6.666183471679688e-5, 0.0, 0.0)","(0.024499988555908202, 0.09256666501363119, 0.2283333460489909, 0.07000000476837158, 0.01419999599456787, 0.04723334312438965, 1.127233362197876, 1.115499981244405, 0.40929996967315674, 0.1429333289464315, 0.08403334617614747, 0.05043331782023112, 0.05813337167104085, 0.033333325386047365)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(4267.0, 2072.0, 581.0, 78.0, 119.0, 16053.0, 7613.0, 1152.0, 105.0, 45.0, 12.0, 5.0, 1.0)","(1.16854e8, -4.811990758080671e7, -6.2996562709648795e7, -6.553894890422054e7, -6.565680163586313e7, -6.811567540262102e7, -1.4335597712925565e8, -1.5010683419612697e8, -1.505647780616465e8, -1.505980556500006e8, -1.5060014332090622e8, -1.5060034284107885e8, -1.5060037530465552e8, -1.5060038324313214e8)","(0.053366653124491376, 0.17519997755686442, 0.4565666437149048, 0.5711666345596313, 0.6270666360855103, 0.7279666423797607, 2.1065666596094768, 3.408533310890198, 3.906499965985616, 4.138433305422465, 4.285633325576782, 4.411466630299886, 4.533833336830139, 4.6318333069483435)"
