instance_name,optimizer,choice_model,threshold,static_model_name,dynamic_model_name,objective_value,time_spent_in_pricing_mean,time_spent_adding_paths_mean,time_spent_in_master_mean,time_spent_total_mean,number_of_label_algo_calls_mean,number_of_fall_backs_mean,number_of_paths_mean,number_of_iterations_mean,time_spent_in_pricing_CI,time_spent_adding_paths_CI,time_spent_in_master_CI,time_spent_total_CI,number_of_label_algo_calls_CI,number_of_fall_backs_CI,number_of_paths_CI,number_of_iterations_CI,fallback_at_itteration,objval_at_fallback,vector_of_it_of_time_spent_in_pricing,vector_of_it_of_time_spent_adding_paths,vector_of_it_of_time_spent_in_master,vector_of_it_of_label_algo_calls,vector_of_it_of_fall_backs,vector_of_it_of_paths,vector_of_it_of_objval,vector_of_it_times
WorldLarge_base.txt,Gurobi,no_choice,0.35,Static_Static_modeller/WorldLarge_base.txt_static.csv_inopt.bson,Static_Static_modeller/WorldLarge_base.txt_static.csv.bson,-1.506003832431322e8,0.6596664587656657,0.43433332443237305,4.096333583196004,5.225000063578288,1220.0,0.0,31486.0,10.0,"(0.44601157615247755, 0.8733213413788538)","(0.1436323895033932, 0.7250342593613529)","(4.02423636752565, 4.168430798866358)","(4.982659721236588, 5.467340405919988)","(1220.0, 1220.0)","(0.0, 0.0)","(31486.0, 31486.0)","(10.0, 10.0)",5.0,-1.278353871072216e8,"(0.011333306630452475, 0.024000008900960285, 0.1380000114440918, 0.09366663297017415, 0.08433326085408528, 0.0906666914621989, 0.06199995676676432, 0.050333261489868164, 0.05200004577636719, 0.053333282470703125)","(0.045666774113972984, 0.006333271662394206, 0.14999993642171225, 0.07266656557718913, 0.04700001080830892, 0.08700005213419597, 0.02199999491373698, 0.0, 0.0036667188008626304)","(0.02033344904581706, 0.009333292643229166, 0.006666660308837891, 0.6223333676656088, 0.8443334897359213, 0.29133327802022296, 1.6830000082651775, 0.39366674423217773, 0.1593333880106608, 0.06599990526835124)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(836.0, 1019.0, 11421.0, 6962.0, 3185.0, 6273.0, 1481.0, 158.0, 151.0)","(1.16854e8, 3.358636712764952e7, 2.3270569845002037e7, -1.028042533745747e8, -1.278353871072216e8, -1.2910135090156339e8, -1.4937956717868966e8, -1.505266337884954e8, -1.5059667362079358e8, -1.506003832431322e8)","(0.037333408991495766, 0.09500010808308919, 0.13933340708414713, 1.0600001017252605, 2.0710001786549888, 2.493666728337606, 4.354333480199178, 4.832000176111857, 5.043000141779582, 5.171000083287557)"
WorldLarge_base.txt,Gurobi,no_choice,0.4,Static_Static_modeller/WorldLarge_base.txt_static.csv_inopt.bson,Static_Static_modeller/WorldLarge_base.txt_static.csv.bson,-1.506003832431324e8,0.6793328126271566,0.3623332977294922,4.259666919708252,5.356333414713542,1464.0,0.0,30250.0,12.0,"(0.4543242223975451, 0.9043414028567681)","(0.20927466796049446, 0.5153919274984899)","(4.112654918581821, 4.406678920834683)","(5.151345590414077, 5.561321239013007)","(1464.0, 1464.0)","(0.0, 0.0)","(30250.0, 30250.0)","(12.0, 12.0)",5.0,-1.1390975729163963e8,"(0.012999852498372396, 0.020333290100097656, 0.07299987475077312, 0.07599989573160808, 0.06000002225240072, 0.0666666825612386, 0.05233319600423177, 0.0473333994547526, 0.049333413441975914, 0.06133333841959635, 0.0559999148050944, 0.10399993260701497)","(0.005333344141642253, 0.0003333091735839844, 0.06733338038126628, 0.07933330535888672, 0.026666641235351562, 0.11766664187113444, 0.0496667226155599, 0.015666643778483074, 0.0003333091735839844, 0.0, 0.0)","(0.023666779200236004, 0.007000048955281575, 0.004666725794474284, 0.41566673914591473, 0.7750000158945719, 0.2566666603088379, 1.6720000108083088, 0.7066667079925537, 0.23833322525024414, 0.0839999516805013, 0.05400005976359049, 0.02199999491373698)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(836.0, 410.0, 8741.0, 4817.0, 2116.0, 9674.0, 3238.0, 358.0, 45.0, 11.0, 4.0)","(1.16854e8, 3.358636712764952e7, 2.788661872277156e7, -8.949982756133203e7, -1.1390975729163963e8, -1.1492701023671341e8, -1.4774930995769203e8, -1.5047583367976406e8, -1.5059548561541188e8, -1.506002107432683e8, -1.506003562508287e8, -1.506003832431324e8)","(0.048333326975504555, 0.06100010871887207, 0.09166669845581055, 0.6586667696634928, 1.590000073115031, 1.9390000502268474, 3.7953333854675293, 4.608666737874349, 4.911333322525024, 5.046666701634725, 5.162000099817912, 5.245000044504802)"
WorldLarge_base.txt,Gurobi,no_choice,0.45,Static_Static_modeller/WorldLarge_base.txt_static.csv_inopt.bson,Static_Static_modeller/WorldLarge_base.txt_static.csv.bson,-1.506003832431323e8,0.5476663112640381,0.428667147954305,3.6366665363311768,4.727999925613403,1342.0,0.0,31935.0,11.0,"(0.47292171787213666, 0.6224109046559395)","(0.15893148743044472, 0.6984028084781653)","(3.533572392703298, 3.7397606799590557)","(4.417602128873792, 5.0383977223530145)","(1342.0, 1342.0)","(0.0, 0.0)","(31935.0, 31935.0)","(11.0, 11.0)",5.0,-9.610643101282142e7,"(0.011666695276896158, 0.017333269119262695, 0.07266664505004883, 0.06733322143554688, 0.05433328946431478, 0.08333325386047363, 0.0516666571299235, 0.045333305994669594, 0.04399998982747396, 0.04900002479553223, 0.050999959309895836)","(0.004666646321614583, 0.0036667188008626304, 0.04266667366027832, 0.03166675567626953, 0.01833343505859375, 0.24233341217041016, 0.06599998474121094, 0.01166677474975586, 0.0056667327880859375, 0.002000013987223307)","(0.023000081380208332, 0.009666681289672852, 0.004000027974446614, 0.2023332118988037, 0.3426666259765625, 0.24066662788391113, 1.3669999440511067, 1.061333417892456, 0.23633329073588052, 0.1013333797454834, 0.04833324750264486)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(836.0, 62.0, 5917.0, 3601.0, 1555.0, 15405.0, 3884.0, 603.0, 64.0, 8.0)","(1.16854e8, 3.358636712764952e7, 3.0112901473983187e7, -6.9675938666077e7, -9.610643101282142e7, -9.74048904891537e7, -1.4669671403803003e8, -1.5044010730575958e8, -1.5059612415621403e8, -1.5060031512401527e8, -1.506003832431323e8)","(0.03833333651224772, 0.0539999802907308, 0.08233332633972168, 0.4029998779296875, 0.8463332653045654, 1.1643333435058594, 2.919666608174642, 4.109666665395101, 4.412999947865804, 4.5740000406901045, 4.6763332684834795)"
WorldLarge_base.txt,Gurobi,no_choice,0.5,Static_Static_modeller/WorldLarge_base.txt_static.csv_inopt.bson,Static_Static_modeller/WorldLarge_base.txt_static.csv.bson,-1.5060038324313217e8,0.6390000979105631,0.43433340390523273,4.693333387374878,5.929666678110759,1464.0,0.0,35708.0,12.0,"(0.5798482126114269, 0.6981519832096993)","(0.4174242499590681, 0.45124255785139733)","(4.636885437146528, 4.749781337603228)","(5.523585499171825, 6.335747857049692)","(1464.0, 1464.0)","(0.0, 0.0)","(35708.0, 35708.0)","(12.0, 12.0)",5.0,-5.1418920144361846e7,"(0.00799997647603353, 0.017333269119262695, 0.05033334096272787, 0.046000003814697266, 0.050999959309895836, 0.07599997520446777, 0.07600005467732747, 0.06099994977315267, 0.049333413441975914, 0.05366675059000651, 0.058666626612345375, 0.09166677792867024)","(0.005333344141642253, 0.0, 0.01900005340576172, 0.01033329963684082, 0.003000020980834961, 0.16566665967305502, 0.18299992879231772, 0.0366667906443278, 0.011333306630452475, 0.0, 0.0)","(0.01833335558573405, 0.0036667188008626304, 0.0010000069936116536, 0.06733330090840657, 0.17266670862833658, 0.01833343505859375, 1.7233332792917888, 1.633666753768921, 0.5859998861948649, 0.31133325894673664, 0.09933336575826009, 0.05833331743876139)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(836.0, 15.0, 2377.0, 1185.0, 221.0, 16859.0, 11428.0, 2367.0, 335.0, 75.0, 10.0)","(1.16854e8, 3.358636712764952e7, 3.0572469473983187e7, -3.215682687681811e7, -5.1418920144361846e7, -5.192980603337932e7, -1.4210992238643947e8, -1.496970071532069e8, -1.5051157882208374e8, -1.5059468426840147e8, -1.506003211543854e8, -1.5060038324313217e8)","(0.03933326403299967, 0.04866663614908854, 0.07799990971883138, 0.21799993515014648, 0.44933327039082843, 0.5260000228881836, 2.495999892552694, 4.396333297093709, 5.082333246866862, 5.457666556040446, 5.710666656494141, 5.829999923706055)"
WorldLarge_base.txt,Gurobi,no_choice,0.55,Static_Static_modeller/WorldLarge_base.txt_static.csv_inopt.bson,Static_Static_modeller/WorldLarge_base.txt_static.csv.bson,-1.5060038324313238e8,0.7213334242502848,0.4183330535888672,5.644000053405762,6.936666647593181,1464.0,0.0,36039.0,12.0,"(0.12635565589193887, 1.3163111926086306)","(0.3641162629715804, 0.472549844206154)","(5.4695251463936465, 5.818474960417877)","(6.5215528022571725, 7.351780492929189)","(1464.0, 1464.0)","(0.0, 0.0)","(36039.0, 36039.0)","(12.0, 12.0)",5.0,1.7109109721297985e6,"(0.014000018437703451, 0.01900005340576172, 0.04333329200744629, 0.046000003814697266, 0.04033335049947103, 0.08333333333333333, 0.08700005213419597, 0.054999987284342446, 0.0539999802907308, 0.04866663614908854, 0.04433337847391764, 0.18633333841959634)","(0.0016666253407796223, 0.0, 0.001333316167195638, 0.0, 0.0, 0.165999968846639, 0.1983331839243571, 0.03833325703938802, 0.006999969482421875, 0.0006666978200276693, 0.0050000349680582685)","(0.020333369572957356, 0.013666629791259766, 0.0016666253407796223, 0.013000011444091797, 0.015666643778483074, 0.006333351135253906, 1.5160000324249268, 2.8440000216166177, 0.8190000851949056, 0.2440000375111898, 0.11233337720235188, 0.037999868392944336)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(836.0, 15.0, 401.0, 168.0, 66.0, 18495.0, 13694.0, 2099.0, 237.0, 24.0, 4.0)","(1.16854e8, 3.358636712764952e7, 3.0572469473983187e7, 1.6298913693715697e7, 1.7109109721297985e6, 1.0446322842134871e6, -1.3716621216332906e8, -1.4946927089517948e8, -1.5056633090676048e8, -1.505995855500046e8, -1.5060035714406234e8, -1.5060038324313238e8)","(0.04033335049947103, 0.056333303451538086, 0.0820000171661377, 0.1419999599456787, 0.20599993069966635, 0.25533334414164227, 2.021999994913737, 5.151333252588908, 6.066666682561238, 6.371999979019165, 6.539333343505859, 6.748333215713501)"
WorldLarge_base.txt,Gurobi,test_choice,0.35,Static_Static_modeller/WorldLarge_base.txt_static.csv_inopt.bson,Static_Static_modeller/WorldLarge_base.txt_static.csv.bson,-1.5060038324313238e8,0.853333314259847,0.4320000807444255,4.989333391189575,6.382999976476033,1464.0,0.0,33906.0,12.0,"(0.09184794567474064, 1.6148186828449536)","(0.310836434177139, 0.5531637273117119)","(4.904133134250881, 5.074533648128269)","(5.7310898224870765, 7.03491013046499)","(1464.0, 1464.0)","(0.0, 0.0)","(33906.0, 33906.0)","(12.0, 12.0)",5.0,-1.2995683857462777e8,"(0.056333303451538086, 0.016000032424926758, 0.08633335431416829, 0.09533333778381348, 0.08899990717569987, 0.07466657956441243, 0.050999959309895836, 0.05433336893717448, 0.05200004577636719, 0.07066671053568523, 0.08233340581258138, 0.12533330917358398)","(0.012333313624064127, 0.006999969482421875, 0.11099990208943684, 0.09199992815653484, 0.07366673151652019, 0.09233339627583821, 0.0366667111714681, 0.0013333956400553386, 0.005333423614501953, 0.0003333091735839844, 0.0)","(0.017666737238566082, 0.012000083923339844, 0.009999990463256836, 0.4660000006357829, 1.721333424250285, 0.6606667041778564, 1.1213332811991374, 0.559999942779541, 0.21799993515014648, 0.12666662534077963, 0.037666638692220054, 0.038000027338663735)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1443.0, 709.0, 10273.0, 8321.0, 5225.0, 6151.0, 1584.0, 145.0, 48.0, 2.0, 5.0)","(1.16854e8, 8.57390230594963e6, -637234.5725966801, -8.79523505033219e7, -1.2995683857462777e8, -1.3213977947228186e8, -1.4934822497346103e8, -1.505493833185421e8, -1.505998691296991e8, -1.5060035354238033e8, -1.506003744739511e8, -1.5060038324313238e8)","(0.11133329073588054, 0.13566668828328451, 0.1743333339691162, 0.8473332722981771, 2.7636667092641196, 3.5923333962758384, 4.885999997456868, 5.533666610717773, 5.811999956766765, 6.004000027974446, 6.124666611353557, 6.249333381652832)"
WorldLarge_base.txt,Gurobi,test_choice,0.4,Static_Static_modeller/WorldLarge_base.txt_static.csv_inopt.bson,Static_Static_modeller/WorldLarge_base.txt_static.csv.bson,-1.5060038324313232e8,0.7016669114430746,0.34799997011820477,3.8239999612172446,4.934666713078816,1342.0,0.0,31073.0,11.0,"(0.5158649830700013, 0.8874688398161479)","(0.28619503745924485, 0.4098049027771647)","(3.712130549819736, 3.935869372614753)","(4.736287965195033, 5.1330454609626)","(1342.0, 1342.0)","(0.0, 0.0)","(31073.0, 31073.0)","(11.0, 11.0)",5.0,-1.1865480010853891e8,"(0.009666681289672852, 0.02000006039937337, 0.07966677347819011, 0.0839999516805013, 0.12099997202555339, 0.13866678873697916, 0.04933325449625651, 0.04999995231628418, 0.05033334096272787, 0.049666802088419594, 0.04933333396911621)","(0.010666767756144205, 0.0003333091735839844, 0.07599997520446777, 0.05200004577636719, 0.04699993133544922, 0.12199989954630534, 0.038666725158691406, 0.0003333091735839844, 0.0010000069936116536, 0.0)","(0.019666671752929688, 0.016333341598510742, 0.006333271662394206, 0.2330000400543213, 0.9543333053588867, 0.33000000317891437, 1.2873334089914958, 0.5893333752950033, 0.21000003814697266, 0.08299994468688965, 0.0946665604909261)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1443.0, 165.0, 7770.0, 6070.0, 3638.0, 9310.0, 2345.0, 209.0, 93.0, 30.0)","(1.16854e8, 8.57390230594963e6, 3.136518987842878e6, -7.888646677476043e7, -1.1865480010853891e8, -1.2033206157801592e8, -1.476999626874529e8, -1.5045782524106494e8, -1.5059903780570266e8, -1.506001126843662e8, -1.5060038324313232e8)","(0.039333343505859375, 0.06633345286051433, 0.09500002861022949, 0.49000008900960285, 1.5806667009989421, 2.0893333752950034, 3.645333449045817, 4.328666766484578, 4.595000108083089, 4.735666672388713, 4.8853333791097)"
WorldLarge_base.txt,Gurobi,test_choice,0.45,Static_Static_modeller/WorldLarge_base.txt_static.csv_inopt.bson,Static_Static_modeller/WorldLarge_base.txt_static.csv.bson,-1.5060038324313238e8,0.6603337128957113,0.3859996795654297,3.7336668173472085,4.839999993642171,1342.0,0.0,31832.0,11.0,"(0.234065009324947, 1.0866024164664756)","(0.34420978723482254, 0.42778957189603684)","(3.678101581984607, 3.78923205270981)","(4.397886100953931, 5.282113886330411)","(1342.0, 1342.0)","(0.0, 0.0)","(31832.0, 31832.0)","(11.0, 11.0)",5.0,-1.055510829791886e8,"(0.012000004450480143, 0.019666751225789387, 0.05533337593078613, 0.09866666793823242, 0.05900001525878906, 0.16566681861877441, 0.05366667111714681, 0.05033334096272787, 0.047333319981892906, 0.04900010426839193, 0.049666643142700195)","(0.004333337148030599, 0.0023332436879475913, 0.044333299001057945, 0.07166663805643718, 0.026333332061767578, 0.1719998518625895, 0.05100003878275553, 0.008333285649617514, 0.005666653315226237, 0.0)","(0.019333362579345703, 0.015666643778483074, 0.004666725794474284, 0.1423333485921224, 0.5773333708445231, 0.3466666539510091, 1.4263334274291992, 0.8259999752044678, 0.27466662724812824, 0.06366682052612305, 0.03699986139933268)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1443.0, 136.0, 5277.0, 5191.0, 2414.0, 13405.0, 3411.0, 503.0, 45.0, 7.0)","(1.16854e8, 8.57390230594963e6, 3.363476987842878e6, -6.668938942580312e7, -1.055510829791886e8, -1.0762950205642967e8, -1.4724831237375492e8, -1.504474718821291e8, -1.5059646440776715e8, -1.50600349834088e8, -1.5060038324313238e8)","(0.041000048319498696, 0.06133333841959635, 0.09033338228861491, 0.334000031153361, 1.0890000661214192, 1.5230000019073486, 3.2983334064483643, 4.23633337020874, 4.570333321889241, 4.689000129699707, 4.789666652679443)"
WorldLarge_base.txt,Gurobi,test_choice,0.5,Static_Static_modeller/WorldLarge_base.txt_static.csv_inopt.bson,Static_Static_modeller/WorldLarge_base.txt_static.csv.bson,-1.506003832431323e8,0.5660001436869303,0.4679999351501465,3.771666924158732,4.8633333047231035,1464.0,0.0,32999.0,12.0,"(0.5294063279089792, 0.6025939594648814)","(0.032879113083129186, 0.9031207572171638)","(3.616366326396509, 3.9269675219209548)","(4.409821171594733, 5.316845437851474)","(1464.0, 1464.0)","(0.0, 0.0)","(32999.0, 32999.0)","(12.0, 12.0)",5.0,-6.784886182747462e7,"(0.014333248138427734, 0.01766657829284668, 0.04400006930033366, 0.05000011126200358, 0.04900002479553223, 0.07266672452290852, 0.0666666825612386, 0.05033334096272787, 0.04999995231628418, 0.04800009727478027, 0.049666643142700195, 0.05366667111714681)","(0.004666566848754883, 0.004000027974446614, 0.012000004450480143, 0.015666723251342773, 0.0016666253407796223, 0.1640000343322754, 0.22566668192545572, 0.032999912897745766, 0.00733335812886556, 0.0, 0.0)","(0.01633342107137044, 0.017333428064982098, 0.0063334306081136065, 0.0733332633972168, 0.24866668383280435, 0.06066664059956869, 1.3359999656677246, 1.3246666590372722, 0.44966673851013184, 0.14800000190734863, 0.050999959309895836, 0.03966673215230306)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1443.0, 114.0, 2206.0, 2108.0, 798.0, 16245.0, 8471.0, 1448.0, 151.0, 12.0, 3.0)","(1.16854e8, 8.57390230594963e6, 3.670487987842878e6, -3.666008346285934e7, -6.784886182747462e7, -6.914181820575647e7, -1.4295487375025406e8, -1.5004784862696442e8, -1.5058106563409975e8, -1.505999682029605e8, -1.5060038247455215e8, -1.506003832431323e8)","(0.04566661516825358, 0.06799999872843425, 0.09666673342386882, 0.22933324178059897, 0.5486667156219482, 0.6619999408721924, 2.2429999510447183, 3.865333318710327, 4.398666699727376, 4.604000012079875, 4.71399998664856, 4.809333324432373)"
WorldLarge_base.txt,Gurobi,test_choice,0.55,Static_Static_modeller/WorldLarge_base.txt_static.csv_inopt.bson,Static_Static_modeller/WorldLarge_base.txt_static.csv.bson,-1.506003832431325e8,0.6883331934611002,0.4353331724802653,4.324666579564412,5.50166670481364,1464.0,0.0,35381.0,12.0,"(0.49226949062391856, 0.8843968962982819)","(0.38314621643407903, 0.4875201285264516)","(4.099248245952776, 4.550084913176049)","(5.349537920009273, 5.653795489618006)","(1464.0, 1464.0)","(0.0, 0.0)","(35381.0, 35381.0)","(12.0, 12.0)",5.0,-2.673702188661179e7,"(0.015000025431315104, 0.01900005340576172, 0.04566661516825358, 0.04999987284342448, 0.040999968846639, 0.09400002161661784, 0.08233332633972168, 0.11766664187113444, 0.04999995231628418, 0.05066665013631185, 0.052666664123535156, 0.07033340136210124)","(0.0059998830159505205, 0.001999934514363607, 0.001666704813639323, 0.006333351135253906, 0.004333337148030599, 0.1830000082651774, 0.1899998982747396, 0.03300007184346517, 0.0050000349680582685, 0.003999948501586914, 0.0)","(0.019333283106486004, 0.011333306630452475, 0.005333344141642253, 0.012333393096923828, 0.024000008900960285, 0.008999983469645182, 1.306333303451538, 2.0206666787465415, 0.5466666221618652, 0.23866669336954752, 0.10066668192545573, 0.030333280563354492)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1443.0, 112.0, 346.0, 494.0, 205.0, 18373.0, 12649.0, 1499.0, 241.0, 18.0, 1.0)","(1.16854e8, 8.57390230594963e6, 3.815027987842874e6, -5.002679830932417e6, -2.673702188661179e7, -2.8034191979321945e7, -1.3983857726253814e8, -1.497721085308105e8, -1.5056091114653206e8, -1.5059944831538942e8, -1.5060038096791482e8, -1.506003832431325e8)","(0.04200005531311035, 0.05966663360595703, 0.09233331680297852, 0.15466674168904623, 0.2369999885559082, 0.2973333199818929, 1.8870000044504802, 4.181333303451538, 4.88100004196167, 5.177000045776367, 5.337666670481364, 5.42633334795634)"
