instance_name,optimizer,choice_model,threshold,static_model_name,dynamic_model_name,objective_value,time_spent_in_pricing_mean,time_spent_adding_paths_mean,time_spent_in_master_mean,time_spent_total_mean,number_of_label_algo_calls_mean,number_of_fall_backs_mean,number_of_paths_mean,number_of_iterations_mean,time_spent_in_pricing_CI,time_spent_adding_paths_CI,time_spent_in_master_CI,time_spent_total_CI,number_of_label_algo_calls_CI,number_of_fall_backs_CI,number_of_paths_CI,number_of_iterations_CI,fallback_at_itteration,objval_at_fallback,vector_of_it_of_time_spent_in_pricing,vector_of_it_of_time_spent_adding_paths,vector_of_it_of_time_spent_in_master,vector_of_it_of_label_algo_calls,vector_of_it_of_fall_backs,vector_of_it_of_paths,vector_of_it_of_objval,vector_of_it_times
EuropeAsia_pid_824_4_best_high,Gurobi,choose_10p_less,0.35,NN_models_inpath/EuropeAsia_pid_824_4_best_high_static.csv.bson,nothing,-1.0765325113333333e8,0.4986666838328044,0.40799999237060547,3.23466690381368,4.209999958674113,1260.0,0.0,30376.0,12.0,"(0.38103458897891807, 0.6162987786866907)","(0.27961560150315756, 0.5363843832380534)","(3.1938234378200323, 3.275510369807328)","(4.10440184558872, 4.315598071759506)","(1260.0, 1260.0)","(0.0, 0.0)","(30376.0, 30376.0)","(12.0, 12.0)",5.0,-8.888576083333333e7,"(0.031000057856241863, 0.03266676266988119, 0.03366661071777344, 0.0279999574025472, 0.02733325958251953, 0.06633329391479492, 0.05066672960917155, 0.05000003178914388, 0.05066657066345215, 0.04333329200744629, 0.04166674613952637, 0.04333337148030599)","(0.0860000451405843, 0.07333334287007649, 0.0386666456858317, 0.005666653315226237, 0.0, 0.12800002098083496, 0.051999966303507485, 0.023333311080932617, 0.0, 0.0010000069936116536, 0.0)","(0.01166677474975586, 0.09766658147176106, 0.999666690826416, 0.2436666488647461, 0.1786667505900065, 0.09966667493184407, 0.8833333651224772, 0.33033331235249835, 0.19366669654846191, 0.1383334000905355, 0.04500007629394531, 0.012999931971232096)","(105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7170.0, 7423.0, 3085.0, 619.0, 144.0, 7436.0, 3160.0, 1089.0, 229.0, 20.0, 1.0)","(7.6619e7, -5.4268595e7, -8.7346677e7, -8.873687e7, -8.888576083333333e7, -8.889333166666666e7, -1.066618565e8, -1.0752329533333333e8, -1.07643619e8, -1.0765274119999997e8, -1.0765324913333334e8, -1.0765325113333333e8)","(0.05233335494995117, 0.2366665999094645, 1.3536667029062908, 1.6699999968210857, 1.8876667022705078, 2.0199999809265137, 3.0976666609446206, 3.5309999783833823, 3.7980000178019204, 3.9923333326975503, 4.092333396275838, 4.160333315531413)"
EuropeAsia_pid_824_4_best_high,Gurobi,choose_10p_less,0.4,NN_models_inpath/EuropeAsia_pid_824_4_best_high_static.csv.bson,nothing,-1.0765325113333325e8,0.610000212987264,0.6779999732971191,3.679333209991455,5.024999936421712,1365.0,0.0,40456.0,13.0,"(0.10873971613869604, 1.111260709835832)","(0.5131455081950663, 0.842854438399172)","(3.615983783444948, 3.742682636537962)","(4.677407241438731, 5.372592631404693)","(1365.0, 1365.0)","(0.0, 0.0)","(40456.0, 40456.0)","(13.0, 13.0)",5.0,-8.0068119e7,"(0.02000006039937337, 0.0236666997273763, 0.01766665776570638, 0.01566656430562337, 0.011333386103312174, 0.06233342488606771, 0.07866668701171875, 0.14933331807454428, 0.05233335494995117, 0.044333299001057945, 0.04433337847391764, 0.048333326975504555, 0.04200005531311035)","(0.03799994786580404, 0.05033342043558756, 0.013333320617675781, 0.002000013987223307, 0.0, 0.15099994341532388, 0.312000036239624, 0.08233324686686198, 0.02066667874654134, 0.008333365122477213, 0.0, 0.0)","(0.013000011444091797, 0.05466667811075846, 0.22733322779337564, 0.14733330408732095, 0.0473333994547526, 0.011333227157592773, 1.503333330154419, 0.415000041325887, 0.5886666774749756, 0.36500000953674316, 0.187666654586792, 0.08766667048136394, 0.03099997838338216)","(105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(5273.0, 3022.0, 1136.0, 198.0, 20.0, 13512.0, 12552.0, 3810.0, 752.0, 102.0, 76.0, 3.0)","(7.6619e7, -4.6600752e7, -7.56765475e7, -7.996646233333331e7, -8.0068119e7, -8.0070156e7, -1.054979718e8, -1.0701653133333333e8, -1.07566116e8, -1.0764684644444446e8, -1.0765272800000001e8, -1.0765323639999999e8, -1.0765325113333325e8)","(0.04166658719380697, 0.13466652234395346, 0.4433332284291585, 0.6269999345143636, 0.6963332494099935, 0.7279998461405436, 2.450999895731608, 3.256666660308838, 4.07699990272522, 4.514999945958455, 4.757333278656006, 4.891333262125651, 4.971666574478149)"
EuropeAsia_pid_824_4_best_high,Gurobi,choose_10p_less,0.5,NN_models_inpath/EuropeAsia_pid_824_4_best_high_static.csv.bson,nothing,-1.0765325113333331e8,0.4850001335144043,0.5513333479563395,3.7376667658487954,4.8186666170756025,1260.0,0.0,37883.0,12.0,"(0.2709742956215222, 0.6990259714072864)","(0.2459935427137997, 0.8566731531988793)","(3.7002939048817547, 3.775039626815836)","(4.557060389302621, 5.080272844848584)","(1260.0, 1260.0)","(0.0, 0.0)","(37883.0, 37883.0)","(12.0, 12.0)",5.0,-9.887418e6,"(0.007666667302449544, 0.009333292643229166, 0.010000069936116537, 0.008666674296061197, 0.0016666253407796223, 0.06099994977315267, 0.1376667022705078, 0.06333327293395996, 0.0473333994547526, 0.04466676712036133, 0.046000003814697266, 0.047666708628336586)","(0.012000083923339844, 0.0, 0.003999948501586914, 0.0, 0.0, 0.08700013160705566, 0.2483332951863607, 0.1726666291554769, 0.02199999491373698, 0.0009999275207519531, 0.004333337148030599)","(0.017999966939290363, 0.01466663678487142, 0.024666706720987957, 0.0023333231608072915, 0.008000055948893229, 0.0056667327880859375, 0.44266661008199054, 1.8983333905537922, 0.8973333835601807, 0.29399991035461426, 0.08533334732055664, 0.04666670163472494)","(105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1968.0, 344.0, 79.0, 15.0, 1.0, 11666.0, 17114.0, 5884.0, 719.0, 74.0, 19.0)","(7.6619e7, -3.196432e6, -9.683611e6, -9.87631e6, -9.887418e6, -9.887418e6, -8.916987275e7, -1.0702567e8, -1.0759441500000001e8, -1.076511995e8, -1.0765305120000003e8, -1.0765325113333331e8)","(0.02733325958251953, 0.05433328946431478, 0.09366663297017415, 0.11133329073588054, 0.13199996948242188, 0.14966662724812826, 0.7433332602183024, 3.0299999713897705, 4.163333257039388, 4.526666561762492, 4.67033322652181, 4.767333269119263)"
EuropeAsia_pid_824_4_best_high,Gurobi,choose_10p_less,0.45,NN_models_inpath/EuropeAsia_pid_824_4_best_high_static.csv.bson,nothing,-1.0765325113333337e8,0.4933334191640218,0.5513332684834799,3.2853333950042725,4.453333298365275,1260.0,0.0,38484.0,12.0,"(0.2356501664085856, 0.751016671919458)","(0.226051403068038, 0.8766151338989217)","(3.2139672265931694, 3.3566995634153756)","(4.449538731868145, 4.4571278648624055)","(1260.0, 1260.0)","(0.0, 0.0)","(38484.0, 38484.0)","(12.0, 12.0)",5.0,-6.528091e7,"(0.011333386103312174, 0.017333348592122395, 0.01466671625773112, 0.017333348592122395, 0.013000090916951498, 0.0713333288828532, 0.12166666984558105, 0.05133326848347982, 0.04199989636739095, 0.047333319981892906, 0.04133335749308268, 0.044666687647501625)","(0.02866665522257487, 0.01099999745686849, 0.008999903996785482, 0.0050000349680582685, 0.0003333091735839844, 0.13299997647603354, 0.28800002733866376, 0.06566667556762695, 0.010666688283284506, 0.0, 0.0)","(0.013666709264119467, 0.0386666456858317, 0.11533323923746745, 0.1513334115346273, 0.024666627248128254, 0.010666688283284506, 0.9940000375111898, 0.8259999752044678, 0.5973333517710367, 0.33500003814697266, 0.13433337211608887, 0.044333299001057945)","(105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(3693.0, 1641.0, 966.0, 197.0, 70.0, 13582.0, 14577.0, 3152.0, 531.0, 70.0, 5.0)","(7.6619e7, -3.5159127e7, -5.9641276e7, -6.5121884e7, -6.528091e7, -6.5291478e7, -1.027261816666667e8, -1.0706765425000004e8, -1.0759712099999994e8, -1.07651294e8, -1.076532475e8, -1.0765325113333337e8)","(0.03366669019063314, 0.10099999109903972, 0.2503332297007243, 0.4333333174387614, 0.4806666374206543, 0.515666643778483, 1.719333330790202, 2.9639999866485596, 3.6833333174387612, 4.139333327611287, 4.3210000197092695, 4.408666610717773)"
EuropeAsia_pid_824_4_best_high,Gurobi,choose_10p_less,0.55,NN_models_inpath/EuropeAsia_pid_824_4_best_high_static.csv.bson,nothing,-1.0765325113333334e8,0.5116668542226156,0.7246667544047037,3.5419997374216714,4.829333305358887,1365.0,0.0,40537.0,13.0,"(0.47572529982633605, 0.5476084086188951)","(0.6128714278854757, 0.8364620809239318)","(3.470995297038074, 3.613004177805269)","(4.702633871654856, 4.956032739062917)","(1365.0, 1365.0)","(0.0, 0.0)","(40537.0, 40537.0)","(13.0, 13.0)",5.0,6.815889e6,"(0.00799997647603353, 0.007333437601725261, 0.01099999745686849, 0.008333365122477213, 0.005666653315226237, 0.06366674105326335, 0.08899998664855957, 0.08166670799255371, 0.04933333396911621, 0.04633339246114095, 0.042999982833862305, 0.05000003178914388, 0.04833324750264486)","(0.003999948501586914, 0.0036667188008626304, 0.0003333886464436849, 0.0, 0.0, 0.0970000425974528, 0.35300008455912274, 0.23199987411499023, 0.024666627248128254, 0.004000027974446614, 0.005333344141642253, 0.0006666978200276693)","(0.011999924977620443, 0.015000025431315104, 0.00733335812886556, 0.005666573842366536, 0.0, 0.0, 0.5609999497731527, 1.6439998944600422, 0.6996667385101318, 0.3149999777475993, 0.13533329963684082, 0.10533332824707031, 0.041666666666666664)","(105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1177.0, 194.0, 35.0, 0.0, 0.0, 12619.0, 14315.0, 11062.0, 907.0, 134.0, 92.0, 2.0)","(7.6619e7, 1.0380839e7, 6.9848765e6, 6.815889e6, 6.815889e6, 6.815889e6, -8.553265428571428e7, -1.063114745e8, -1.0749347e8, -1.0764658078571428e8, -1.0765266e8, -1.0765319636000006e8, -1.0765325113333334e8)","(0.03166667620340983, 0.05066665013631185, 0.07133340835571289, 0.08899998664855957, 0.09966667493184407, 0.10733334223429362, 0.8363333543141683, 2.925666650136312, 3.943333307902018, 4.333333253860474, 4.524666627248128, 4.679666678110759, 4.781000057856242)"
EuropeAsia_pid_824_4_best_high,Gurobi,choose_5p_less,0.35,NN_models_inpath/EuropeAsia_pid_824_4_best_high_static.csv.bson,nothing,-1.0765325113333328e8,0.5160001118977865,0.45566662152608234,3.7053332328796387,4.708999951680501,1155.0,0.0,33349.0,11.0,"(0.26633530755803336, 0.7656649162375396)","(0.4033028039460951, 0.5080304391060696)","(3.6456446066627572, 3.76502185909652)","(4.452988849984843, 4.965011053376159)","(1155.0, 1155.0)","(0.0, 0.0)","(33349.0, 33349.0)","(11.0, 11.0)",5.0,-9.29610351111111e7,"(0.08033331235249837, 0.03333330154418945, 0.03733332951863607, 0.026333332061767578, 0.024666786193847656, 0.0690000851949056, 0.053333441416422524, 0.04333329200744629, 0.05033334096272787, 0.05033334096272787, 0.04766654968261719)","(0.0906667709350586, 0.07266664505004883, 0.07866668701171875, 0.013666709264119467, 0.0006666978200276693, 0.1313332716623942, 0.04433321952819824, 0.01899997393290202, 0.0, 0.004666646321614583)","(0.01399993896484375, 0.11666663487752278, 1.1323333581288655, 0.3880000114440918, 0.17366655667622885, 0.10699995358784993, 1.0323332945505779, 0.3896667957305908, 0.2219999631245931, 0.08933329582214355, 0.04033342997233073)","(105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7187.0, 8030.0, 4744.0, 548.0, 147.0, 9290.0, 2730.0, 611.0, 53.0, 9.0)","(7.6619e7, -5.4716858e7, -9.03883979102564e7, -9.2697203e7, -9.29610351111111e7, -9.29658009583333e7, -1.07281355e8, -1.0762763333333336e8, -1.07651109e8, -1.076531920166667e8, -1.0765325113333328e8)","(0.09933328628540039, 0.30700000127156574, 1.5483333269755046, 2.055999994277954, 2.2749999364217124, 2.4096666971842446, 3.647666613260905, 4.135000069936116, 4.422666629155477, 4.562333265940349, 4.6576666831970215)"
EuropeAsia_pid_824_4_best_high,Gurobi,choose_5p_less,0.4,NN_models_inpath/EuropeAsia_pid_824_4_best_high_static.csv.bson,nothing,-1.0765325113333333e8,0.8456668059031168,0.6650002002716064,4.076333204905192,5.614666700363159,1470.0,0.0,41745.0,14.0,"(0.026634186478013078, 1.6646994253282206)","(0.49964143972627273, 0.8303589608169402)","(4.023266878939895, 4.12939953087049)","(4.896684995716175, 6.3326484050101435)","(1470.0, 1470.0)","(0.0, 0.0)","(41745.0, 41745.0)","(14.0, 14.0)",5.0,-8.25971245e7,"(0.04266667366027832, 0.030666669209798176, 0.05533329645792643, 0.019999980926513672, 0.02866673469543457, 0.07733337084452312, 0.07833329836527507, 0.05433328946431478, 0.046000003814697266, 0.04633339246114095, 0.04300006230672201, 0.04700009028116862, 0.2303333282470703, 0.04566661516825358)","(0.04033335049947103, 0.030666669209798176, 0.02733333905537923, 0.010333379109700521, 0.0006666978200276693, 0.19499993324279785, 0.2676667372385661, 0.06533336639404297, 0.019666751225789387, 0.005333264668782552, 0.0026667118072509766, 0.0, 0.0)","(0.014333407084147135, 0.06266665458679199, 0.38466668128967285, 0.21733331680297852, 0.07466665903727214, 0.022999922434488933, 1.3206667105356853, 0.7563333511352539, 0.49466665585835773, 0.3279999891916911, 0.21166658401489258, 0.0949999491373698, 0.04933325449625651, 0.04400006930033366)","(105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(5809.0, 3354.0, 1595.0, 465.0, 66.0, 13847.0, 12687.0, 3056.0, 592.0, 215.0, 54.0, 4.0, 1.0)","(7.6619e7, -4.7715623e7, -7.7662859e7, -8.2351048e7, -8.25971245e7, -8.260601375e7, -1.0574740988764048e8, -1.0708887142857142e8, -1.07584543e8, -1.07644794e8, -1.0765257e8, -1.076531575e8, -1.0765324906666665e8, -1.0765325113333333e8)","(0.059666713078816734, 0.16266671816507974, 0.609000047047933, 0.9089999993642172, 1.0140000184377034, 1.0663333733876545, 2.6596666971842446, 3.76200008392334, 4.384333372116089, 4.778333425521851, 5.047666629155477, 5.197000026702881, 5.293333371480306, 5.569000085194905)"
EuropeAsia_pid_824_4_best_high,Gurobi,choose_5p_less,0.5,NN_models_inpath/EuropeAsia_pid_824_4_best_high_static.csv.bson,nothing,-1.0765325113333334e8,0.6420001188913981,0.4693334897359212,2.9579997062683105,4.122999906539917,1365.0,0.0,35749.0,13.0,"(0.3149614455281858, 0.9690387922546104)","(0.34496937011193307, 0.5936976093599093)","(2.935642014366532, 2.980357398170089)","(3.8757190388813187, 4.370280774198515)","(1365.0, 1365.0)","(0.0, 0.0)","(35749.0, 35749.0)","(13.0, 13.0)",5.0,-2.81083745e7,"(0.011333386103312174, 0.01033329963684082, 0.010000069936116537, 0.014000018437703451, 0.05966663360595703, 0.09000007311503093, 0.10533332824707031, 0.05533329645792643, 0.04233328501383463, 0.047666708628336586, 0.10900004704793294, 0.041666666666666664, 0.045333305994669594)","(0.010666767756144205, 0.0, 0.002000013987223307, 0.0029999415079752603, 0.0, 0.10599994659423828, 0.2579999764760335, 0.08100008964538574, 0.007666746775309245, 0.0010000069936116536, 0.0, 0.0)","(0.01466671625773112, 0.023333231608072918, 0.03933326403299967, 0.005333344141642253, 0.007666667302449544, 0.0, 0.5219999949137369, 1.4696667194366455, 0.4469999472300212, 0.22933332125345865, 0.11999996503194173, 0.04166658719380697, 0.03799994786580404)","(105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(2163.0, 674.0, 137.0, 75.0, 0.0, 10184.0, 17736.0, 4373.0, 265.0, 135.0, 6.0, 1.0)","(7.6619e7, -1.5086105e7, -2.6748734e7, -2.8068024e7, -2.81083745e7, -2.81083745e7, -9.49116915e7, -1.0617782340000004e8, -1.07612165e8, -1.07651687e8, -1.0765322104761906e8, -1.0765324933333331e8, -1.0765325113333334e8)","(0.029999971389770508, 0.0646665891011556, 0.11733325322469075, 0.13566668828328451, 0.16133332252502441, 0.2243332862854004, 0.9476666450500488, 2.7850000063578286, 3.373999993006388, 3.6569999853769937, 3.831666628519694, 3.982333262761434, 4.075999975204468)"
EuropeAsia_pid_824_4_best_high,Gurobi,choose_5p_less,0.45,NN_models_inpath/EuropeAsia_pid_824_4_best_high_static.csv.bson,nothing,-1.0765325113333333e8,0.5170000394185384,0.669333299001058,4.182666540145874,5.548000017801921,1155.0,0.0,43665.0,11.0,"(0.16045029698819036, 0.8735497818488865)","(0.5318657292634165, 0.8068008687386995)","(4.101016124965205, 4.264316955326543)","(5.116503238400675, 5.979496797203167)","(1155.0, 1155.0)","(0.0, 0.0)","(43665.0, 43665.0)","(11.0, 11.0)",5.0,-7.2061427e7,"(0.014333327611287435, 0.016666650772094727, 0.02266669273376465, 0.011666615804036459, 0.012666702270507812, 0.09366663297017415, 0.10233346621195476, 0.0496667226155599, 0.04799985885620117, 0.09566664695739746, 0.0496667226155599)","(0.026000022888183594, 0.004999955495198567, 0.04766662915547689, 0.005333344141642253, 0.003000020980834961, 0.13733339309692383, 0.36733325322469074, 0.057666619618733726, 0.01900005340576172, 0.0010000069936116536)","(0.013333320617675781, 0.04999995231628418, 0.22266666094462076, 0.16033331553141275, 0.048333326975504555, 0.03133328755696615, 1.5086665948232014, 1.2119999726613362, 0.5040001074473063, 0.31533336639404297, 0.11666663487752278)","(105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(4094.0, 1631.0, 1567.0, 311.0, 53.0, 13632.0, 19216.0, 2496.0, 569.0, 96.0)","(7.6619e7, -4.0668016e7, -6.741513783333333e7, -7.1654797e7, -7.2061427e7, -7.2072304e7, -1.0375643849999996e8, -1.07097746e8, -1.0761313112195122e8, -1.0765153025e8, -1.0765325113333333e8)","(0.032666683197021484, 0.10899996757507324, 0.36400000254313153, 0.5956666469573975, 0.6636666456858317, 0.7106666564941406, 2.4576666355133057, 4.141666650772095, 4.757000048955281, 5.142333348592122, 5.35699995358785)"
EuropeAsia_pid_824_4_best_high,Gurobi,choose_5p_less,0.55,NN_models_inpath/EuropeAsia_pid_824_4_best_high_static.csv.bson,nothing,-1.0765325113333337e8,0.6190002759297689,0.601666529973348,3.7346665064493814,4.999666531880696,1365.0,0.0,39665.0,13.0,"(0.12346033297039127, 1.1145402188891467)","(0.2308197301018251, 0.9725133298448709)","(3.515832409453313, 3.9535006034454496)","(4.7196267116452715, 5.279706352116121)","(1365.0, 1365.0)","(0.0, 0.0)","(39665.0, 39665.0)","(13.0, 13.0)",5.0,5.513432e6,"(0.028000036875406902, 0.004333337148030599, 0.011333386103312174, 0.009666681289672852, 0.010333379109700521, 0.06933331489562988, 0.07666667302449544, 0.0773332913716634, 0.047666708628336586, 0.047666708628336586, 0.043666680653889976, 0.15000009536743164, 0.042999982833862305)","(0.011999924977620443, 0.005333344141642253, 0.0009999275207519531, 0.0, 0.0, 0.08533334732055664, 0.1763333479563395, 0.19733333587646484, 0.11533331871032715, 0.0036667188008626304, 0.005333264668782552, 0.0)","(0.014999945958455404, 0.015333334604899088, 0.008000055948893229, 0.0033333301544189453, 0.001666704813639323, 0.0059998830159505205, 0.6079999605814616, 1.502333402633667, 0.7416666348775228, 0.544666608174642, 0.15833322207132974, 0.09633342425028484, 0.033999999364217125)","(105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0, 105.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1239.0, 207.0, 41.0, 13.0, 1.0, 12315.0, 14471.0, 9873.0, 1222.0, 220.0, 62.0, 1.0)","(7.6619e7, 9.002135e6, 5.710247e6, 5.517381e6, 5.513432e6, 5.513399e6, -8.550784633333333e7, -1.0626647496153848e8, -1.07516472e8, -1.07641737625e8, -1.0765265e8, -1.0765324993333332e8, -1.0765325113333337e8)","(0.046666622161865234, 0.07399988174438477, 0.09466663996378581, 0.11299991607666016, 0.12766663233439127, 0.14499990145365396, 0.9133332570393881, 2.678666671117147, 3.694999933242798, 4.407333215077718, 4.620999892552693, 4.766333262125651, 4.955333312352498)"
