instance_name,optimizer,choice_model,threshold,static_model_name,dynamic_model_name,objective_value,time_spent_in_pricing_mean,time_spent_adding_paths_mean,time_spent_in_master_mean,time_spent_total_mean,number_of_label_algo_calls_mean,number_of_fall_backs_mean,number_of_paths_mean,number_of_iterations_mean,time_spent_in_pricing_CI,time_spent_adding_paths_CI,time_spent_in_master_CI,time_spent_total_CI,number_of_label_algo_calls_CI,number_of_fall_backs_CI,number_of_paths_CI,number_of_iterations_CI,fallback_at_itteration,objval_at_fallback,vector_of_it_of_time_spent_in_pricing,vector_of_it_of_time_spent_adding_paths,vector_of_it_of_time_spent_in_master,vector_of_it_of_label_algo_calls,vector_of_it_of_fall_backs,vector_of_it_of_paths,vector_of_it_of_objval,vector_of_it_times
WorldLarge_base.txt,Gurobi,test_choice,0.35,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,nothing,-1.5060038324313223e8,0.6661333084106446,0.41313330332438153,4.269333267211914,5.418999981880188,1342.0,0.0,35183.0,11.0,"(0.6025817917177018, 0.7296848251035873)","(0.3947090977811684, 0.43155750886759464)","(4.242568936503161, 4.296097597920668)","(5.353441066507471, 5.484558897252906)","(1342.0, 1342.0)","(0.0, 0.0)","(35183.0, 35183.0)","(11.0, 11.0)",5.0,-1.3227083281695548e8,"(0.0537999947865804, 0.0674666404724121, 0.044233330090840656, 0.039499982198079424, 0.04493334293365479, 0.0728000005086263, 0.05203335285186768, 0.05169999599456787, 0.08369999726613363, 0.0798667033513387, 0.07609996795654297)","(0.1081999937693278, 0.11236668427785237, 0.06296666463216145, 0.00776665210723877, 0.001700003941853841, 0.08686668078104655, 0.028366629282633463, 0.004799993832906088, 0.00010000069936116537, 0.0)","(0.025566625595092773, 0.5604333480199178, 1.2565333366394043, 0.599066702524821, 0.168233323097229, 0.09103333155314128, 0.797599991162618, 0.4375000317891439, 0.20633330345153808, 0.08396663665771484, 0.043066636721293135)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(13924.0, 9400.0, 3886.0, 255.0, 76.0, 5829.0, 1546.0, 236.0, 24.0, 7.0)","(1.16854e8, -1.0771914787466054e8, -1.3051168022670886e8, -1.3215505740235616e8, -1.3227083281695548e8, -1.322759141797732e8, -1.4926116355490974e8, -1.505622258856336e8, -1.505995824979916e8, -1.506003207371043e8, -1.5060038324313223e8)","(0.09139997959136963, 0.7610666592915852, 2.200799997647603, 2.91150000890096, 3.1392333189646404, 3.2820666551589968, 4.245099997520446, 4.767566680908203, 5.035933303833008, 5.207299955685934, 5.3371666431427)"
WorldLarge_base.txt,Gurobi,test_choice,0.4,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,nothing,-1.5060038324313256e8,0.5566000938415527,0.3997331698735555,4.193933423360189,5.2176000038782755,1342.0,0.0,32508.0,11.0,"(0.5217875803627777, 0.5914126073203277)","(0.37130539586087047, 0.42816094388624054)","(4.179350293854024, 4.208516552866354)","(5.184223921613221, 5.25097608614333)","(1342.0, 1342.0)","(0.0, 0.0)","(32508.0, 32508.0)","(11.0, 11.0)",5.0,-1.2038638820299149e8,"(0.03976667722066243, 0.046900002161661784, 0.04183334509531657, 0.04396666685740153, 0.027266645431518556, 0.0716000239054362, 0.06303337415059408, 0.050633358955383304, 0.06016667683919271, 0.06089998881022136, 0.05053333441416422)","(0.0834333340326945, 0.07813331286112467, 0.05256663958231608, 0.00496665636698405, 0.0013666550318400066, 0.13959995905558267, 0.03383328119913737, 0.004066665967305501, 0.0015666723251342774, 0.00019999345143636069)","(0.019800003369649252, 0.384333332379659, 1.0785000165303549, 0.32480003039042155, 0.07330002784729003, 0.032833345731099445, 1.2807000080744426, 0.6286666790644327, 0.2303999900817871, 0.080299973487854, 0.060300016403198244)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(11026.0, 7039.0, 2978.0, 153.0, 15.0, 8855.0, 2189.0, 221.0, 23.0, 9.0)","(1.16854e8, -9.950588537360255e7, -1.1936290948878911e8, -1.2034164381263004e8, -1.2038638820299149e8, -1.2038746283058085e8, -1.479241546936979e8, -1.504535811817714e8, -1.505969547197491e8, -1.5060021089896435e8, -1.5060038324313256e8)","(0.0752333402633667, 0.5432333389918009, 1.7515666723251342, 2.177833342552185, 2.307633360226949, 2.3739333311716715, 3.8691333214441936, 4.600166662534078, 4.891466665267944, 5.037399991353353, 5.162600000699361)"
WorldLarge_base.txt,Gurobi,test_choice,0.5,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,nothing,-1.5060038324313223e8,0.61746666431427,0.4038000265757243,3.740933362642924,4.86493330001831,1586.0,0.0,33427.0,13.0,"(0.5617994710097045, 0.6731338576188355)","(0.3731915112310564, 0.43440854192039213)","(3.7301413131585788, 3.7517254121272696)","(4.803864595896109, 4.9260020041405115)","(1586.0, 1586.0)","(0.0, 0.0)","(33427.0, 33427.0)","(13.0, 13.0)",5.0,-6.352482374522947e7,"(0.0196666955947876, 0.0211333433787028, 0.01766665776570638, 0.01336666742960612, 0.015400012334187826, 0.07826665242513021, 0.08113332589467366, 0.0502666711807251, 0.07356665929158529, 0.05026662349700928, 0.06030002435048421, 0.049633336067199704, 0.08679999510447184)","(0.03213333288828532, 0.02003332773844401, 0.004699993133544922, 3.333091735839844e-5, 0.0005333344141642253, 0.162766695022583, 0.13906663258870441, 0.03536669413248698, 0.005200004577636719, 0.0033333539962768556, 0.0006333271662394206, 0.0)","(0.019966689745585124, 0.09326666990915934, 0.22859999338785808, 0.03876668612162272, 0.01183334986368815, 0.008966668446858724, 1.4590333302815754, 1.1447333415349326, 0.4006999890009562, 0.17916666666666667, 0.076800004641215, 0.03966666062672933, 0.039499982198079424)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(4267.0, 2065.0, 519.0, 17.0, 7.0, 16461.0, 8535.0, 1218.0, 304.0, 32.0, 1.0, 1.0)","(1.16854e8, -4.811990758080671e7, -6.2853768709648795e7, -6.35131499867785e7, -6.352482374522947e7, -6.352485602671929e7, -1.4306128989591587e8, -1.50095588521501e8, -1.5057494712038985e8, -1.50599895474659e8, -1.506003556352553e8, -1.5060037530465558e8, -1.5060038324313223e8)","(0.05126667817433675, 0.176800004641215, 0.45153332551320396, 0.5192999919255574, 0.5487666765848795, 0.5792666832605998, 2.2867666800816853, 3.659266646703084, 4.150366671880087, 4.41316667397817, 4.548633329073588, 4.651800012588501, 4.76156664689382)"
WorldLarge_base.txt,Gurobi,test_choice,0.45,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,nothing,-1.506003832431325e8,0.5394334236780802,0.4088666280110677,3.617333348592122,4.63683332602183,1342.0,0.0,32691.0,11.0,"(0.4884799633698099, 0.5903868839863505)","(0.3737700369455909, 0.4439632190765445)","(3.5927107591201817, 3.6419559380640627)","(4.5705310815412385, 4.703135570502422)","(1342.0, 1342.0)","(0.0, 0.0)","(32691.0, 32691.0)","(11.0, 11.0)",5.0,-1.0652381486733103e8,"(0.031699999173482256, 0.04383333524068197, 0.028366676966349282, 0.02420000235239665, 0.02863334019978841, 0.07129999796549479, 0.05983335971832275, 0.05410000483194987, 0.060300008455912275, 0.061333354314168295, 0.07583334445953369)","(0.061033320426940915, 0.04566667079925537, 0.027199983596801758, 0.0015333255132039389, 0.0037000258763631184, 0.18853333791097004, 0.05709997018178304, 0.022866654396057128, 0.0012000083923339843, 3.333091735839844e-5)","(0.02330003579457601, 0.20143334865570067, 0.6526000022888183, 0.276533317565918, 0.0777000109354655, 0.032366641362508136, 1.2115333398183188, 0.6952666918436686, 0.3154666582743327, 0.10649998188018799, 0.024633320172627766)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(8218.0, 4403.0, 2269.0, 117.0, 58.0, 13213.0, 3822.0, 550.0, 35.0, 6.0)","(1.16854e8, -8.249235243532324e7, -1.0543615811234716e8, -1.0645852290143447e8, -1.0652381486733103e8, -1.0652539022469918e8, -1.4747626077042815e8, -1.504432477538551e8, -1.5059736466184476e8, -1.5060037703270757e8, -1.506003832431325e8)","(0.0671666701634725, 0.32986667156219485, 1.077566679318746, 1.4159999767939249, 1.5236666679382325, 1.5942333141962688, 3.0717999935150146, 3.8952666759490966, 4.292333324750264, 4.464466659228007, 4.555799984931946)"
WorldLarge_base.txt,Gurobi,test_choice,0.55,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,nothing,-1.5060038324313223e8,0.5520332177480062,0.41396668752034504,5.256800063451132,6.287133304278056,1464.0,0.0,33967.0,12.0,"(0.5124735688210391, 0.5915928666749732)","(0.38884435033328896, 0.43908902470740113)","(5.243872543260912, 5.269727583641351)","(6.246088158677075, 6.3281784498790365)","(1464.0, 1464.0)","(0.0, 0.0)","(33967.0, 33967.0)","(12.0, 12.0)",5.0,-1.0631631232359825e7,"(0.01183332602183024, 0.011033312479654948, 0.011766656239827474, 0.011733349164326985, 0.012399991353352865, 0.09329997698465983, 0.10386662483215332, 0.0647333304087321, 0.05963329474131266, 0.06976665655771891, 0.053066682815551755, 0.04890001614888509)","(0.010266677538553873, 0.0022333224614461264, 0.00366669495900472, 3.333091735839844e-5, 0.0, 0.18299999237060546, 0.1746333440144857, 0.033066662152608235, 0.005233327547709147, 0.0007999976476033529, 0.001033337910970052)","(0.022100019454956054, 0.02070000171661377, 0.018666680653889975, 0.004633307456970215, 0.005066665013631185, 0.0001333316167195638, 1.7069333791732788, 2.4419999996821087, 0.7576666911443074, 0.16266666253407797, 0.08403333822886148, 0.032199986775716144)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(1810.0, 218.0, 61.0, 1.0, 0.0, 18404.0, 11383.0, 1909.0, 163.0, 17.0, 1.0)","(1.16854e8, -3.375801109524871e6, -1.0578635504882636e7, -1.0625154258817112e7, -1.0631631232359825e7, -1.0631631232359825e7, -1.3976571703772795e8, -1.4951069054448086e8, -1.505714738739691e8, -1.5060013044700864e8, -1.5060038025082862e8, -1.5060038324313223e8)","(0.047166633605957034, 0.07853331565856933, 0.11483331521352132, 0.13993330001831056, 0.16079999605814616, 0.1772666295369466, 2.1653666655222574, 4.888866647084554, 5.749100001653035, 5.984466640154521, 6.143666632970175, 6.233333309491475)"
WorldLarge_base.txt,Gurobi,choose_10p_less,0.35,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,nothing,-1.5060038324313247e8,0.5752667268117269,0.4824000040690104,4.532300027211507,5.683133379618327,1342.0,0.0,36756.0,11.0,"(0.5367032444250966, 0.6138302091983571)","(0.4519534826528769, 0.5128465254851439)","(4.506456837475718, 4.558143216947296)","(5.628311635437643, 5.7379551237990105)","(1342.0, 1342.0)","(0.0, 0.0)","(36756.0, 36756.0)","(11.0, 11.0)",5.0,-1.3656339327768996e8,"(0.04986669222513835, 0.06840000947316488, 0.056166648864746094, 0.037000028292338054, 0.03986666997273763, 0.058933353424072264, 0.050066661834716794, 0.049033315976460774, 0.06109998226165771, 0.05906666914621989, 0.04576669534047444)","(0.12220000425974528, 0.13686665693918865, 0.08320000966389975, 0.006300004323323568, 0.005233335494995117, 0.09599997997283935, 0.022733354568481447, 0.007400012016296387, 0.0024666468302408854, 0.0)","(0.02263331413269043, 0.4926999886830648, 1.6314333518346151, 0.5079333225886027, 0.24843334356943766, 0.09140000343322754, 0.9273333470026652, 0.37286667823791503, 0.15706666310628256, 0.04206669330596924, 0.038433321317036945)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(14690.0, 10306.0, 4844.0, 357.0, 53.0, 5108.0, 1121.0, 256.0, 20.0, 1.0)","(1.16854e8, -1.1219174617825036e8, -1.3510671366254282e8, -1.3646404139169738e8, -1.3656339327768996e8, -1.3656849727472493e8, -1.5019546594241035e8, -1.5058279816532457e8, -1.5059825949710223e8, -1.5060014524313247e8, -1.5060038324313247e8)","(0.08296669324239095, 0.6993666887283325, 2.540600037574768, 3.193666688601176, 3.4891667207082113, 3.6421667098999024, 4.728766695658366, 5.190366713205973, 5.408133355776469, 5.530700023969015, 5.632566690444946)"
WorldLarge_base.txt,Gurobi,choose_10p_less,0.4,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,nothing,-1.5060038324313247e8,0.6203332901000976,0.4112333536148071,4.128133304913839,5.2186333258946735,1342.0,0.0,33109.0,11.0,"(0.5560772201275042, 0.6845893600726911)","(0.37951258233607554, 0.4429541248935387)","(4.106668267219499, 4.149598342608179)","(5.156765730152223, 5.280500921637124)","(1342.0, 1342.0)","(0.0, 0.0)","(33109.0, 33109.0)","(11.0, 11.0)",5.0,-1.2612711411688663e8,"(0.04143332640329997, 0.05779998302459717, 0.0371666431427002, 0.035933311780293783, 0.02976669470469157, 0.06099998950958252, 0.06479999224344889, 0.08020000457763672, 0.04960001309712728, 0.05773333708445231, 0.10489999453226725)","(0.09656666119893392, 0.0999000072479248, 0.0402000109354655, 0.0035666704177856447, 0.002333331108093262, 0.12389998435974121, 0.03826669851938883, 0.004366660118103027, 0.002133329709370931, 0.0)","(0.02023333708445231, 0.49090001583099363, 1.1013333479563394, 0.3733333428700765, 0.1172000010808309, 0.06313332716623941, 1.079099988937378, 0.4801666498184204, 0.22243329683939617, 0.11939999262491861, 0.06093333562215169)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(12003.0, 8298.0, 2937.0, 215.0, 58.0, 7410.0, 1802.0, 311.0, 68.0, 7.0)","(1.16854e8, -1.0290680855755661e8, -1.2470450505903448e8, -1.2603403023356345e8, -1.2612711411688663e8, -1.2613405170430313e8, -1.488976579656464e8, -1.504700918232783e8, -1.5059452761248672e8, -1.5060017084759566e8, -1.5060038324313247e8)","(0.07369999090830485, 0.6622000058492025, 1.9245333433151246, 2.3798333326975505, 2.54039998849233, 2.640133341153463, 3.908799974123637, 4.495133328437805, 4.805499974886576, 4.982433334986369, 5.108100001017252)"
WorldLarge_base.txt,Gurobi,choose_10p_less,0.5,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,nothing,-1.5060038324313223e8,0.4685333728790283,0.36243329048156736,3.380499990781148,4.311833357810974,1342.0,0.0,30687.0,11.0,"(0.43090982402275174, 0.5061569217353049)","(0.3342940127275158, 0.3905725682356189)","(3.3692448337937906, 3.3917551477685057)","(4.266547402765355, 4.357119312856592)","(1342.0, 1342.0)","(0.0, 0.0)","(30687.0, 30687.0)","(11.0, 11.0)",5.0,-7.850764607750611e7,"(0.01960001786549886, 0.020766671498616537, 0.019300007820129396, 0.018200000127156574, 0.015466682116190593, 0.07460002104441325, 0.08366664250691731, 0.04859999815622965, 0.05829999446868896, 0.062399983406066895, 0.04763335386912028)","(0.031200003623962403, 0.022266650199890138, 0.006066648165384928, 0.0035666465759277345, 0.0005000034968058268, 0.1474333127339681, 0.13066668510437013, 0.016266687711079916, 0.0038666566212972003, 0.0005999962488810221)","(0.01816668510437012, 0.08736662864685059, 0.28890000184377035, 0.08740002314249674, 0.03313333988189697, 0.01273329257965088, 1.195133344332377, 1.0617666721343995, 0.4323666334152222, 0.12303335666656494, 0.04050001303354899)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(4743.0, 2285.0, 473.0, 92.0, 10.0, 13881.0, 8196.0, 896.0, 102.0, 9.0)","(1.16854e8, -5.895712390605969e7, -7.802719588277622e7, -7.845750876030272e7, -7.850764607750611e7, -7.851177720339662e7, -1.4609898398875654e8, -1.5027094435894287e8, -1.505853475256109e8, -1.5059994216448584e8, -1.5060038324313223e8)","(0.05016669432322184, 0.17169999281565348, 0.5143666744232178, 0.6311000267664592, 0.6975666840871175, 0.7432000001271566, 2.173300019900004, 3.4534000237782796, 3.9571666717529297, 4.145800026257833, 4.261066691080729)"
WorldLarge_base.txt,Gurobi,choose_10p_less,0.45,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,nothing,-1.5060038324313223e8,0.6257999579111735,0.33566664854685463,3.98663338025411,5.034766658147176,1464.0,0.0,29072.0,12.0,"(0.5690294947183042, 0.6825704211040428)","(0.3068362445637457, 0.36449705252996356)","(3.938472882191976, 4.034793878316244)","(4.950608287099303, 5.118925029195049)","(1464.0, 1464.0)","(0.0, 0.0)","(29072.0, 29072.0)","(12.0, 12.0)",5.0,-1.1155066747459699e8,"(0.03203333218892415, 0.03853332996368408, 0.030500006675720216, 0.026599995295206704, 0.024399995803833008, 0.0798666795094808, 0.06649996439615885, 0.06773331960042318, 0.052233314514160155, 0.07373334566752116, 0.06050000190734863, 0.07316667238871256)","(0.056833322842915854, 0.048433319727579756, 0.024633344014485678, 0.002933319409688314, 0.005533345540364583, 0.13769998550415039, 0.05026667912801107, 0.006633329391479492, 0.0027000029881795247, 0.0, 0.0)","(0.023400004704793295, 0.2608999967575073, 0.9872000137964885, 0.26723333199818927, 0.07150000731150309, 0.03773331642150879, 1.138966695467631, 0.8622000058492024, 0.16733333269755046, 0.0913999875386556, 0.0402000109354655, 0.03856667677561442)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(8596.0, 4848.0, 2009.0, 208.0, 28.0, 10182.0, 2874.0, 281.0, 38.0, 3.0, 5.0)","(1.16854e8, -8.646965043374969e7, -1.1054053981889006e8, -1.1144110901170823e8, -1.1155066747459699e8, -1.115574620341578e8, -1.479319015824786e8, -1.504744020408105e8, -1.505991179820433e8, -1.506003512462568e8, -1.5060038120955223e8, -1.5060038324313223e8)","(0.06733333269755046, 0.38583333492279054, 1.4636333386103313, 1.7970333337783813, 1.9031333287556966, 1.9760666449864706, 3.3429666837056478, 4.336233345667521, 4.585133330027262, 4.734933320681254, 4.853166675567627, 4.957633328437805)"
WorldLarge_base.txt,Gurobi,choose_10p_less,0.55,NN_models_inpath/WorldLarge_base.txt_static.csv.bson,nothing,-1.5060038324313223e8,0.535766617457072,0.44060006936391194,4.533366664250692,5.589433383941651,1464.0,0.0,36174.0,12.0,"(0.4942770241557207, 0.5772562107584233)","(0.41758687448417386, 0.46361326424365)","(4.522981210746815, 4.543752117754568)","(5.542682562086074, 5.636184205797227)","(1464.0, 1464.0)","(0.0, 0.0)","(36174.0, 36174.0)","(12.0, 12.0)",5.0,-2.7250413996027503e7,"(0.014966678619384766, 0.014700023333231609, 0.017166638374328615, 0.014166688919067383, 0.018866642316182455, 0.09026662508646648, 0.08280000686645508, 0.05389997164408366, 0.05660000642140706, 0.049466673533121744, 0.04969997406005859, 0.0731666882832845)","(0.014933347702026367, 0.005366675059000651, 0.003166675567626953, 0.002433339754740397, 0.00010000864664713541, 0.18610002994537353, 0.19036667346954345, 0.029466676712036132, 0.002733325958251953, 0.004399998982747396, 0.0015333175659179687)","(0.01773337523142497, 0.024966637293497723, 0.038400006294250486, 0.0183666467666626, 0.007466657956441244, 0.005900041262308756, 1.6753333330154419, 1.9237333456675212, 0.4773999770482381, 0.20059999624888103, 0.10729998747507731, 0.036166659990946454)","(122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(2440.0, 513.0, 272.0, 35.0, 1.0, 18457.0, 12749.0, 1520.0, 141.0, 29.0, 17.0)","(1.16854e8, -1.3851090498608109e7, -2.529903618907392e7, -2.72359492903103e7, -2.7250413996027503e7, -2.72507767754041e7, -1.3992347429531038e8, -1.4986697570426476e8, -1.505691377178234e8, -1.5059970562151715e8, -1.506003554930735e8, -1.5060038324313223e8)","(0.04613337516784668, 0.08946669101715088, 0.15146671930948893, 0.19496667385101318, 0.22560004393259683, 0.2546000639597575, 2.2100333611170453, 4.412933381398519, 4.977100006739298, 5.241833360989888, 5.406066695849101, 5.499100009600322)"
